Genotype,Cluster,ligand,receptor,prob,interaction_name,interaction_name_2,pathway_name,annotation,evidence,probWT,LFCprob,Columns
WT,Transit Amplifying,Ereg,Egfr,3.838932563125804e-4,EREG_EGFR,Ereg  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012,3.838932563125804e-4,0,WT_Transit Amplifying
WT,Stem (Stroma),Ereg,Egfr,5.438041677355898e-4,EREG_EGFR,Ereg  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012,5.438041677355898e-4,0,WT_Stem (Stroma)
WT,Late Absorptive,Ereg,Egfr,4.544804346445827e-4,EREG_EGFR,Ereg  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012,4.544804346445827e-4,0,WT_Late Absorptive
WT,Secretory,Ereg,Egfr,6.362879542834693e-4,EREG_EGFR,Ereg  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012,6.362879542834693e-4,0,WT_Secretory
WT,ER Stress,Ereg,Egfr,3.842565327610374e-4,EREG_EGFR,Ereg  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012,3.842565327610374e-4,0,WT_ER Stress
WT,Stem (Reserve),Ereg,EGFR_ERBB2,0.0014679784228531555,EREG_EGFR_ERBB2,Ereg  - (Egfr+Erbb2),EGF,Secreted Signaling,KEGG: mmu04012,0.0014679784228531555,0,WT_Stem (Reserve)
WT,Late Absorptive,Ereg,EGFR_ERBB2,4.106525258914252e-4,EREG_EGFR_ERBB2,Ereg  - (Egfr+Erbb2),EGF,Secreted Signaling,KEGG: mmu04012,4.106525258914252e-4,0,WT_Late Absorptive
WT,Stem (Oncogene) 1,Nrg1,Erbb3,1.1594017593835086e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,1.1594017593835086e-4,0,WT_Stem (Oncogene) 1
WT,Stem (Reserve),Nrg1,Erbb3,4.534431352661454e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,4.534431352661454e-4,0,WT_Stem (Reserve)
WT,Stem (Stroma),Nrg1,Erbb3,1.0508790733409544e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,1.0508790733409544e-4,0,WT_Stem (Stroma)
WT,Early Absorptive,Nrg1,Erbb3,2.3163738654807822e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,2.3163738654807822e-4,0,WT_Early Absorptive
WT,Late Absorptive,Nrg1,Erbb3,2.554778941545335e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,2.554778941545335e-4,0,WT_Late Absorptive
WT,Secretory,Nrg1,Erbb3,2.312498729006479e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,2.312498729006479e-4,0,WT_Secretory
WT,ER Stress,Nrg1,Erbb3,2.7061718512842405e-4,NRG1_ERBB3,Nrg1  - Erbb3,NRG,Secreted Signaling,KEGG: mmu04012,2.7061718512842405e-4,0,WT_ER Stress
WT,Stem (Reserve),Nrg1,ERBB2_ERBB3,6.510944099234348e-4,NRG1_ERBB2_ERBB3,Nrg1  - (Erbb2+Erbb3),NRG,Secreted Signaling,KEGG: mmu04012,6.510944099234348e-4,0,WT_Stem (Reserve)
WT,Early Absorptive,Nrg1,ERBB2_ERBB3,2.3772326933364194e-4,NRG1_ERBB2_ERBB3,Nrg1  - (Erbb2+Erbb3),NRG,Secreted Signaling,KEGG: mmu04012,2.3772326933364194e-4,0,WT_Early Absorptive
WT,Late Absorptive,Nrg1,ERBB2_ERBB3,2.0654366362965023e-4,NRG1_ERBB2_ERBB3,Nrg1  - (Erbb2+Erbb3),NRG,Secreted Signaling,KEGG: mmu04012,2.0654366362965023e-4,0,WT_Late Absorptive
WT,Stem (Reserve),Igf1,Igf1r,1.0657380366729132e-4,IGF1_IGF1R,Igf1  - Igf1r,IGF,Secreted Signaling,PMID: 14604834,1.0657380366729132e-4,0,WT_Stem (Reserve)
WT,Stem (Oncogene) 1,Igf1,ITGA6_ITGB4,4.3747758996205666e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,4.3747758996205666e-4,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Igf1,ITGA6_ITGB4,3.984236236136445e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,3.984236236136445e-4,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Igf1,ITGA6_ITGB4,7.752609499228694e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,7.752609499228694e-4,0,WT_Stem (Reserve)
WT,Transit Amplifying,Igf1,ITGA6_ITGB4,6.631861742003231e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,6.631861742003231e-4,0,WT_Transit Amplifying
WT,Stem (Stroma),Igf1,ITGA6_ITGB4,4.5587093658987134e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,4.5587093658987134e-4,0,WT_Stem (Stroma)
WT,Early Absorptive,Igf1,ITGA6_ITGB4,4.3322683993134875e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,4.3322683993134875e-4,0,WT_Early Absorptive
WT,Late Absorptive,Igf1,ITGA6_ITGB4,5.999537375970302e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,5.999537375970302e-4,0,WT_Late Absorptive
WT,Secretory,Igf1,ITGA6_ITGB4,5.067380623366732e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,5.067380623366732e-4,0,WT_Secretory
WT,ER Stress,Igf1,ITGA6_ITGB4,3.769947829873695e-4,IGF1_ITGA6_ITGB4,Igf1  - (Itga6+Itgb4),IGF,Secreted Signaling,PMID: 28190785; PMID: 28873464,3.769947829873695e-4,0,WT_ER Stress
WT,Stem (Oncogene) 1,Tnfsf12,Tnfrsf12a,0.025065356475369224,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.025065356475369224,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Tnfsf12,Tnfrsf12a,0.015944143469158588,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.015944143469158588,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Tnfsf12,Tnfrsf12a,0.028622334632297932,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.028622334632297932,0,WT_Stem (Reserve)
WT,Transit Amplifying,Tnfsf12,Tnfrsf12a,0.026414265473402147,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.026414265473402147,0,WT_Transit Amplifying
WT,Stem (Stroma),Tnfsf12,Tnfrsf12a,0.034150904000800564,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.034150904000800564,0,WT_Stem (Stroma)
WT,Early Absorptive,Tnfsf12,Tnfrsf12a,0.011253137823110848,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.011253137823110848,0,WT_Early Absorptive
WT,Late Absorptive,Tnfsf12,Tnfrsf12a,0.02420905870145219,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.02420905870145219,0,WT_Late Absorptive
WT,Secretory,Tnfsf12,Tnfrsf12a,0.022780933758167594,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.022780933758167594,0,WT_Secretory
WT,ER Stress,Tnfsf12,Tnfrsf12a,0.020968126755143326,TNFSF12_TNFRSF12A,Tnfsf12  - Tnfrsf12a,TWEAK,Secreted Signaling,KEGG: mmu04060,0.020968126755143326,0,WT_ER Stress
WT,Stem (Oncogene) 2,Spp1,Cd44,0.029774645746538486,SPP1_CD44,Spp1  - Cd44,SPP1,Secreted Signaling,PMID: 21907263,0.029774645746538486,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Spp1,Cd44,0.08773011402463488,SPP1_CD44,Spp1  - Cd44,SPP1,Secreted Signaling,PMID: 21907263,0.08773011402463488,0,WT_Stem (Reserve)
WT,Transit Amplifying,Spp1,Cd44,0.03223303697352736,SPP1_CD44,Spp1  - Cd44,SPP1,Secreted Signaling,PMID: 21907263,0.03223303697352736,0,WT_Transit Amplifying
WT,Stem (Stroma),Spp1,Cd44,0.05022935658432627,SPP1_CD44,Spp1  - Cd44,SPP1,Secreted Signaling,PMID: 21907263,0.05022935658432627,0,WT_Stem (Stroma)
WT,Stem (Reserve),Spp1,ITGAV_ITGB1,0.10618139880018926,SPP1_ITGAV_ITGB1,Spp1  - (Itgav+Itgb1),SPP1,Secreted Signaling,PMID: 21907263,0.10618139880018926,0,WT_Stem (Reserve)
WT,Transit Amplifying,Spp1,ITGAV_ITGB1,0.028035591083306784,SPP1_ITGAV_ITGB1,Spp1  - (Itgav+Itgb1),SPP1,Secreted Signaling,PMID: 21907263,0.028035591083306784,0,WT_Transit Amplifying
WT,Stem (Stroma),Spp1,ITGAV_ITGB1,0.057317932212176424,SPP1_ITGAV_ITGB1,Spp1  - (Itgav+Itgb1),SPP1,Secreted Signaling,PMID: 21907263,0.057317932212176424,0,WT_Stem (Stroma)
WT,Late Absorptive,Spp1,ITGAV_ITGB1,0.029881909719044236,SPP1_ITGAV_ITGB1,Spp1  - (Itgav+Itgb1),SPP1,Secreted Signaling,PMID: 21907263,0.029881909719044236,0,WT_Late Absorptive
WT,ER Stress,Spp1,ITGAV_ITGB1,0.028800215001929648,SPP1_ITGAV_ITGB1,Spp1  - (Itgav+Itgb1),SPP1,Secreted Signaling,PMID: 21907263,0.028800215001929648,0,WT_ER Stress
WT,Stem (Oncogene) 1,Spp1,ITGAV_ITGB6,0.005272996850343167,SPP1_ITGAV_ITGB6,Spp1  - (Itgav+Itgb6),SPP1,Secreted Signaling,PMID: 21907263,0.005272996850343167,0,WT_Stem (Oncogene) 1
WT,Stem (Reserve),Spp1,ITGAV_ITGB6,0.06663544748873182,SPP1_ITGAV_ITGB6,Spp1  - (Itgav+Itgb6),SPP1,Secreted Signaling,PMID: 21907263,0.06663544748873182,0,WT_Stem (Reserve)
WT,Transit Amplifying,Spp1,ITGAV_ITGB6,0.007900198819870578,SPP1_ITGAV_ITGB6,Spp1  - (Itgav+Itgb6),SPP1,Secreted Signaling,PMID: 21907263,0.007900198819870578,0,WT_Transit Amplifying
WT,Stem (Stroma),Spp1,ITGAV_ITGB6,0.026402888886970635,SPP1_ITGAV_ITGB6,Spp1  - (Itgav+Itgb6),SPP1,Secreted Signaling,PMID: 21907263,0.026402888886970635,0,WT_Stem (Stroma)
WT,Late Absorptive,Spp1,ITGAV_ITGB6,0.00926064992248663,SPP1_ITGAV_ITGB6,Spp1  - (Itgav+Itgb6),SPP1,Secreted Signaling,PMID: 21907263,0.00926064992248663,0,WT_Late Absorptive
WT,ER Stress,Spp1,ITGAV_ITGB6,0.008828526823017132,SPP1_ITGAV_ITGB6,Spp1  - (Itgav+Itgb6),SPP1,Secreted Signaling,PMID: 21907263,0.008828526823017132,0,WT_ER Stress
WT,Stem (Oncogene) 1,Angptl4,Sdc1,0.010165463427606429,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.010165463427606429,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Angptl4,Sdc1,0.012085994758627146,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.012085994758627146,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Angptl4,Sdc1,0.022935307109189694,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.022935307109189694,0,WT_Stem (Reserve)
WT,Transit Amplifying,Angptl4,Sdc1,0.014808931210206662,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.014808931210206662,0,WT_Transit Amplifying
WT,Stem (Stroma),Angptl4,Sdc1,0.017494956032453147,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.017494956032453147,0,WT_Stem (Stroma)
WT,Early Absorptive,Angptl4,Sdc1,0.010920864304621268,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.010920864304621268,0,WT_Early Absorptive
WT,Late Absorptive,Angptl4,Sdc1,0.011680432557466395,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.011680432557466395,0,WT_Late Absorptive
WT,Secretory,Angptl4,Sdc1,0.00924273734211156,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.00924273734211156,0,WT_Secretory
WT,ER Stress,Angptl4,Sdc1,0.007659133588137691,ANGPTL4_SDC1,Angptl4  - Sdc1,ANGPTL,Secreted Signaling,PMID: 29017031,0.007659133588137691,0,WT_ER Stress
WT,Stem (Oncogene) 1,Angptl4,Sdc4,0.007764954495588759,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.007764954495588759,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Angptl4,Sdc4,0.006363004043504386,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.006363004043504386,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Angptl4,Sdc4,0.014694175313337837,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.014694175313337837,0,WT_Stem (Reserve)
WT,Transit Amplifying,Angptl4,Sdc4,0.009514080130130248,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.009514080130130248,0,WT_Transit Amplifying
WT,Stem (Stroma),Angptl4,Sdc4,0.01046082932135103,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.01046082932135103,0,WT_Stem (Stroma)
WT,Early Absorptive,Angptl4,Sdc4,0.006433084939614769,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.006433084939614769,0,WT_Early Absorptive
WT,Late Absorptive,Angptl4,Sdc4,0.005305161759600342,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.005305161759600342,0,WT_Late Absorptive
WT,Secretory,Angptl4,Sdc4,0.005660070341103068,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.005660070341103068,0,WT_Secretory
WT,ER Stress,Angptl4,Sdc4,0.008444558470943877,ANGPTL4_SDC4,Angptl4  - Sdc4,ANGPTL,Secreted Signaling,PMID: 29017031,0.008444558470943877,0,WT_ER Stress
WT,Stem (Oncogene) 1,Ptn,Sdc1,0.07845998145878674,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.07845998145878674,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Ptn,Sdc1,0.09208287865243409,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.09208287865243409,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Ptn,Sdc1,0.16290217272624039,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.16290217272624039,0,WT_Stem (Reserve)
WT,Transit Amplifying,Ptn,Sdc1,0.11080734260508389,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.11080734260508389,0,WT_Transit Amplifying
WT,Stem (Stroma),Ptn,Sdc1,0.1286320190206786,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.1286320190206786,0,WT_Stem (Stroma)
WT,Early Absorptive,Ptn,Sdc1,0.08386042100544848,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08386042100544848,0,WT_Early Absorptive
WT,Late Absorptive,Ptn,Sdc1,0.08923538534204947,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08923538534204947,0,WT_Late Absorptive
WT,Secretory,Ptn,Sdc1,0.07178770752456817,PTN_SDC1,Ptn  - Sdc1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.07178770752456817,0,WT_Secretory
WT,Stem (Reserve),Ptn,Sdc4,0.11003176851937156,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.11003176851937156,0,WT_Stem (Reserve)
WT,Transit Amplifying,Ptn,Sdc4,0.07375851263424586,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.07375851263424586,0,WT_Transit Amplifying
WT,Stem (Stroma),Ptn,Sdc4,0.08057816304506872,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08057816304506872,0,WT_Stem (Stroma)
WT,Stem (Oncogene) 1,Ptn,Ncl,0.15936839739223277,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.15936839739223277,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Ptn,Ncl,0.12193440529460534,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.12193440529460534,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Ptn,Ncl,0.11036385579661781,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.11036385579661781,0,WT_Stem (Reserve)
WT,Transit Amplifying,Ptn,Ncl,0.08463238504725683,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08463238504725683,0,WT_Transit Amplifying
WT,Stem (Stroma),Ptn,Ncl,0.08302859388824663,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911,0.08302859388824663,0,WT_Stem (Stroma)
WT,Stem (Reserve),Sema3a,NRP1_PLXNA1,1.537061402744168e-4,SEMA3A_NRP1_PLXNA1,Sema3a  - (Nrp1+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782,1.537061402744168e-4,0,WT_Stem (Reserve)
WT,Stem (Reserve),Lgals9,Cd44,0.011648231923539667,LGALS9_CD44,Lgals9  - Cd44,GALECTIN,Secreted Signaling,PMID: 25065622,0.011648231923539667,0,WT_Stem (Reserve)
WT,Stem (Stroma),Lgals9,Cd44,0.006439561196237347,LGALS9_CD44,Lgals9  - Cd44,GALECTIN,Secreted Signaling,PMID: 25065622,0.006439561196237347,0,WT_Stem (Stroma)
WT,Transit Amplifying,Col1a1,ITGA1_ITGB1,0.019445180479072507,COL1A1_ITGA1_ITGB1,Col1a1  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.019445180479072507,0,WT_Transit Amplifying
WT,Early Absorptive,Col1a1,ITGA1_ITGB1,0.017214489981460288,COL1A1_ITGA1_ITGB1,Col1a1  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.017214489981460288,0,WT_Early Absorptive
WT,Transit Amplifying,Col1a2,ITGA1_ITGB1,0.015246733500261846,COL1A2_ITGA1_ITGB1,Col1a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.015246733500261846,0,WT_Transit Amplifying
WT,Early Absorptive,Col1a2,ITGA1_ITGB1,0.013491049167994314,COL1A2_ITGA1_ITGB1,Col1a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.013491049167994314,0,WT_Early Absorptive
WT,Transit Amplifying,Col4a1,ITGA1_ITGB1,0.00924971423065307,COL4A1_ITGA1_ITGB1,Col4a1  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.00924971423065307,0,WT_Transit Amplifying
WT,Early Absorptive,Col4a1,ITGA1_ITGB1,0.00817886021334784,COL4A1_ITGA1_ITGB1,Col4a1  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.00817886021334784,0,WT_Early Absorptive
WT,Transit Amplifying,Col4a2,ITGA1_ITGB1,0.006623463742630903,COL4A2_ITGA1_ITGB1,Col4a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.006623463742630903,0,WT_Transit Amplifying
WT,Early Absorptive,Col4a2,ITGA1_ITGB1,0.005854858129074966,COL4A2_ITGA1_ITGB1,Col4a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.005854858129074966,0,WT_Early Absorptive
WT,Stem (Oncogene) 1,Col4a5,ITGA1_ITGB1,0.002405108242358718,COL4A5_ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.002405108242358718,0,WT_Stem (Oncogene) 1
WT,Stem (Oncogene) 2,Col4a5,ITGA1_ITGB1,0.002331174533454495,COL4A5_ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.002331174533454495,0,WT_Stem (Oncogene) 2
WT,Transit Amplifying,Col4a5,ITGA1_ITGB1,0.003128186246122476,COL4A5_ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.003128186246122476,0,WT_Transit Amplifying
WT,Early Absorptive,Col4a5,ITGA1_ITGB1,0.0027640540160546677,COL4A5_ITGA1_ITGB1,Col4a5  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.0027640540160546677,0,WT_Early Absorptive
WT,Transit Amplifying,Col6a1,ITGA1_ITGB1,0.01194065759460302,COL6A1_ITGA1_ITGB1,Col6a1  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.01194065759460302,0,WT_Transit Amplifying
WT,Early Absorptive,Col6a1,ITGA1_ITGB1,0.010561589837214974,COL6A1_ITGA1_ITGB1,Col6a1  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.010561589837214974,0,WT_Early Absorptive
WT,Transit Amplifying,Col6a2,ITGA1_ITGB1,0.004338599077125309,COL6A2_ITGA1_ITGB1,Col6a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.004338599077125309,0,WT_Transit Amplifying
WT,Early Absorptive,Col6a2,ITGA1_ITGB1,0.003834112309378613,COL6A2_ITGA1_ITGB1,Col6a2  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.003834112309378613,0,WT_Early Absorptive
WT,Transit Amplifying,Col6a3,ITGA1_ITGB1,0.008711347075280025,COL6A3_ITGA1_ITGB1,Col6a3  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.008711347075280025,0,WT_Transit Amplifying
WT,Early Absorptive,Col6a3,ITGA1_ITGB1,0.007702336123179154,COL6A3_ITGA1_ITGB1,Col6a3  - (Itga1+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.007702336123179154,0,WT_Early Absorptive
WT,Stem (Oncogene) 2,Col1a1,ITGA2_ITGB1,0.017444729338618167,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.017444729338618167,0,WT_Stem (Oncogene) 2
WT,Stem (Reserve),Col1a1,ITGA2_ITGB1,0.08446871841937523,COL1A1_ITGA2_ITGB1,Col1a1  - (Itga2+Itgb1),COLLAGEN,ECM-Receptor,KEGG: mmu04512,0.08446871841937523,0,WT_Stem (Reserve)
