,,phateepi_1,phateepi_2,curatedCLUST,CCATmed,VELOmed,dist,clustDISTmin,Ridge,height,,,
WT,16,0.037958885,0.00882651,Late Enterocyte,0.234857537,167.310714,0.017215838,0.009002585,,0.244143172,,,"    df_2[""height""] = df_2.apply("
WT,17,0.034160966,0.006815304,Late Enterocyte,0.234857537,167.310714,0.01408604,0.009002585,Y,0.255213593,,,"        lambda x: x[""CCATmed""]+((cell_data[""velocity_length""].mean()/x[""VELOmed""])/50) if x[""Ridge""]==""Y"" else x[""CCATmed""]+((cell_data[""velocity_length""].mean()/x[""VELOmed""])/100)*(x[""dist""]/x[""clustDISTmin""]-1), "
WT,18,0.001052559,0.01975847,ER Stress,0.277051733,137.3284961,0.008482227,0.005853808,Y,0.301852021,,,        axis=1)
WT,19,0.003500733,-0.001082801,revCSC,0.348974281,248.3255332,0.009875246,0.004813433,,0.356185642,,,
WT,20,0.000663,-0.006845219,TA 1,0.301248963,241.106147,0.005501645,0.004755062,,0.302357886,,,
WT,21,-0.002410708,-0.010410834,CSC,0.338042503,258.6659283,0.006216229,0.005480045,Y,0.35120924,,,
WT,22,0.024954631,0.037641594,Goblet / DCS,0.244543009,205.206332,0.025488383,0.0136771,Y,0.261139896,,,
WT,23,-0.014211973,-0.009763429,CSC,0.338042503,258.6659283,0.008453474,0.005480045,Y,0.35120924,,,
WT,24,0.01237622,-0.012095216,Goblet / DCS,0.244543009,205.206332,0.026936571,0.0136771,Y,0.261139896,,,
WT,25,0.01237622,-0.012095216,Goblet / DCS,0.244543009,205.206332,0.026936571,0.0136771,Y,0.261139896,,,
WT,26,0.033225658,-0.000254,Late Enterocyte,0.234857537,167.310714,0.010505536,0.009002585,,0.236556724,,,
WT,27,-0.002936363,-0.010471606,TA 1,0.301248963,241.106147,0.006321947,0.004755062,Y,0.315374635,,,
WT,28,-0.000862,-0.005088853,TA 1,0.301248963,241.106147,0.005433156,0.004755062,,0.302256158,,,
WT,29,0.019258942,0.003381919,Goblet / DCS,0.244543009,205.206332,0.018332248,0.0136771,Y,0.261139896,,,
WT,30,-0.025022077,0.00761385,proCSC,0.389112168,235.940056,0.00562579,0.005289637,,0.389570834,,,
WT,31,-0.025985829,0.011356687,proCSC,0.389112168,235.940056,0.006686995,0.005289637,,0.391018802,,,
WT,32,0.013303123,-0.004233407,ER Stress,0.277051733,137.3284961,0.005853808,0.005853808,Y,0.301852021,,,
WT,33,-0.007365662,-0.010585882,CSC,0.338042503,258.6659283,0.005538421,0.005480045,,0.338112631,,,
WT,34,0.041127134,0.017566632,Late Enterocyte,0.234857537,167.310714,0.023584775,0.009002585,,0.251343683,,,
WT,35,0.026151945,-0.007374118,Early Enterocyte,0.268803969,218.0722803,0.016125816,0.006641666,,0.279954829,,,
WT,36,0.031408365,-0.003664091,Early Enterocyte,0.268803969,218.0722803,0.021538695,0.006641666,,0.286318947,,,
WT,37,0.002774375,0.019556316,ER Stress,0.277051733,137.3284961,0.0081431,0.005853808,,0.28190115,,,
WT,38,0.042027056,0.022215648,Late Enterocyte,0.234857537,167.310714,0.028312269,0.009002585,Y,0.255213593,,,
WT,39,-0.002090666,-0.006329104,TA 1,0.301248963,241.106147,0.004801118,0.004755062,,0.301317372,,,
WT,40,0.026684137,-0.005455475,Late Enterocyte,0.234857537,167.310714,0.010829222,0.009002585,,0.236922673,,,
WT,41,-0.009809315,-0.006499483,TA 1,0.301248963,241.106147,0.007253436,0.004755062,,0.304959873,,,
WT,42,0.032253436,-0.002414281,Early Enterocyte,0.268803969,218.0722803,0.022913553,0.006641666,,0.287935418,,,
WT,43,0.029499111,-0.003752845,Late Enterocyte,0.234857537,167.310714,0.010199856,0.009002585,,0.236211133,,,
WT,44,-0.022514745,-0.001751731,proCSC,0.389112168,235.940056,0.008727386,0.005289637,Y,0.403547132,,,
WT,45,-0.002158902,-0.008784958,TA 1,0.301248963,241.106147,0.005378651,0.004755062,,0.3021752,,,
WT,46,0.039547289,0.01318969,Early Enterocyte,0.268803969,218.0722803,0.006641666,0.006641666,,0.268803969,,,
WT,47,0.002806574,0.007476662,TA 2,0.28071078,227.7227682,0.014580421,0.00446672,,0.29764255,,,
WT,48,0.002406401,0.007612417,TA 2,0.28071078,227.7227682,0.014470878,0.00446672,,0.29745916,,,
WT,49,0.020375344,-0.008505682,Late Enterocyte,0.234857537,167.310714,0.011719258,0.009002585,Y,0.255213593,,,
WT,50,-0.024867317,0.01002117,proCSC,0.389112168,235.940056,0.005693134,0.005289637,,0.389662721,,,
WT,51,0.022470386,0.006680577,Goblet / DCS,0.244543009,205.206332,0.01928841,0.0136771,,0.247947615,,,
WT,52,0.008215927,-0.011873594,Early Enterocyte,0.268803969,218.0722803,0.007330647,0.006641666,,0.26961403,,,
WT,53,0.008962168,-0.013007504,Early Enterocyte,0.268803969,218.0722803,0.007761534,0.006641666,,0.270120639,,,
WT,54,-0.026195323,0.011422864,proCSC,0.389112168,235.940056,0.0067585,0.005289637,,0.391116367,,,
WT,55,0.012687534,0.002894392,ER Stress,0.277051733,137.3284961,0.014872049,0.005853808,,0.296155109,,,
WT,56,0.003959782,-0.009241368,TA 1,0.301248963,241.106147,0.00858634,0.004755062,,0.306939675,,,
WT,57,0.035774772,0.006129736,Late Enterocyte,0.234857537,167.310714,0.014402632,0.009002585,,0.240962654,,,
WT,58,0.024614777,0.039161182,Goblet / DCS,0.244543009,205.206332,0.026926237,0.0136771,Y,0.261139896,,,
WT,59,-0.003828385,-0.008767618,TA 1,0.301248963,241.106147,0.005545217,0.004755062,,0.302422605,,,
WT,60,0.041836426,0.022908505,Late Enterocyte,0.234857537,167.310714,0.028934853,0.009002585,Y,0.255213593,,,
WT,61,0.024658179,0.038661696,Goblet / DCS,0.244543009,205.206332,0.026427981,0.0136771,,0.252279478,,,
WT,62,0.020640889,-0.005728893,Late Enterocyte,0.234857537,167.310714,0.010426792,0.009002585,,0.236467698,,,
WT,63,0.032035495,-0.003153725,Early Enterocyte,0.268803969,218.0722803,0.02231707,0.006641666,,0.287234112,,,
WT,64,-0.006625303,-0.011886332,CSC,0.338042503,258.6659283,0.005700296,0.005480045,,0.338307098,,,
WT,65,0.039917406,0.016761531,Late Enterocyte,0.234857537,167.310714,0.022495018,0.009002585,Y,0.255213593,,,
WT,66,0.035554125,0.002886573,Late Enterocyte,0.234857537,167.310714,0.013019328,0.009002585,,0.239398735,,,
WT,67,-0.024982037,0.003126552,proCSC,0.389112168,235.940056,0.006488311,0.005289637,,0.390747706,,,
WT,68,0.023443126,0.007596566,Goblet / DCS,0.244543009,205.206332,0.019318403,0.0136771,Y,0.261139896,,,
WT,69,0.005452678,0.006240431,ER Stress,0.277051733,137.3284961,0.009029037,0.005853808,,0.283777832,,,
WT,70,-0.006662357,-0.007791035,TA 1,0.301248963,241.106147,0.005706551,0.004755062,,0.302662239,,,
WT,71,0.004199045,0.022102259,ER Stress,0.277051733,137.3284961,0.010403426,0.005853808,Y,0.301852021,,,
WT,72,0.003286317,0.016414654,ER Stress,0.277051733,137.3284961,0.00613114,0.005853808,,0.277639206,,,
WT,73,0.008192985,-0.006523473,Early Enterocyte,0.268803969,218.0722803,0.008215017,0.006641666,Y,0.284421664,,,
WT,74,0.009185625,-0.008990239,Late Enterocyte,0.234857537,167.310714,0.020499592,0.009002585,,0.247855676,,,
WT,75,-0.004122986,-0.011192036,CSC,0.338042503,258.6659283,0.005881636,0.005480045,,0.338524949,,,
WT,76,0.00327072,0.018128666,ER Stress,0.277051733,137.3284961,0.006839316,0.005853808,,0.279139338,,,
WT,77,0.014623384,-0.013627721,Early Enterocyte,0.268803969,218.0722803,0.008506392,0.006641666,,0.270996395,,,
WT,78,0.001439939,0.020414208,ER Stress,0.277051733,137.3284961,0.009009769,0.005853808,,0.283737019,,,
WT,79,0.028753244,-0.002308046,Late Enterocyte,0.234857537,167.310714,0.009648599,0.009002585,,0.235587899,,,
WT,80,-0.02218757,0.001656156,proCSC,0.389112168,235.940056,0.007330341,0.005289637,,0.39189662,,,
WT,81,0.003011059,0.019089096,ER Stress,0.277051733,137.3284961,0.007707203,0.005853808,,0.280977788,,,
WT,82,0.007512357,-0.009523375,Late Enterocyte,0.234857537,167.310714,0.022239525,0.009002585,,0.249822788,,,
WT,83,0.011003642,-0.012242011,Early Enterocyte,0.268803969,218.0722803,0.007118766,0.006641666,,0.269364914,,,
WT,84,0.015690112,-0.011194104,Early Enterocyte,0.268803969,218.0722803,0.008333745,0.006641666,,0.270793408,,,
WT,85,0.039864843,0.015072525,Late Enterocyte,0.234857537,167.310714,0.021673123,0.009002585,,0.249182433,,,
WT,86,0.042419628,0.027225976,Late Enterocyte,0.234857537,167.310714,0.033287691,0.009002585,Y,0.255213593,,,
WT,87,-0.000301,-0.010355097,TA 1,0.301248963,241.106147,0.006462805,0.004755062,,0.303785526,,,
WT,88,0.031528033,-0.004033384,Early Enterocyte,0.268803969,218.0722803,0.021496548,0.006641666,Y,0.284421664,,,
WT,89,-0.013991079,-0.004848987,CSC,0.338042503,258.6659283,0.009688517,0.005480045,Y,0.35120924,,,
WT,90,-0.00400982,-0.005687272,TA 1,0.301248963,241.106147,0.004837527,0.004755062,,0.301371451,,,
WT,91,-0.00520302,-0.000756,TA 1,0.301248963,241.106147,0.007522552,0.004755062,,0.305359599,,,
WT,92,0.015016425,-0.008416375,Late Enterocyte,0.234857537,167.310714,0.014902509,0.009002585,,0.241527798,,,
WT,93,-0.002735646,-0.006874317,TA 1,0.301248963,241.106147,0.00487162,0.004755062,,0.30142209,,,
WT,94,0.031067207,-0.003299351,Early Enterocyte,0.268803969,218.0722803,0.02144443,0.006641666,,0.286208117,,,
WT,95,0.031630357,-0.000604,Late Enterocyte,0.234857537,167.310714,0.009701513,0.009002585,,0.235647721,,,
WT,96,0.030284692,-0.002083075,Late Enterocyte,0.234857537,167.310714,0.009511788,0.009002585,,0.235433226,,,
WT,97,-0.003010439,-0.003676728,TA 1,0.301248963,241.106147,0.005458473,0.004755062,,0.302293762,,,
WT,98,0.016718939,-0.00921139,Early Enterocyte,0.268803969,218.0722803,0.008950544,0.006641666,Y,0.284421664,,,
WT,99,0.026319987,-0.003436842,Late Enterocyte,0.234857537,167.310714,0.009979292,0.009002585,,0.23596177,,,
WT,100,0.042247851,0.030310926,Late Enterocyte,0.234857537,167.310714,0.036300196,0.009002585,,0.265719322,,,
WT,101,0.032852539,0.001274929,Late Enterocyte,0.234857537,167.310714,0.01064679,0.009002585,,0.236716422,,,
WT,102,0.016646056,-0.013257749,Early Enterocyte,0.268803969,218.0722803,0.009424059,0.006641666,Y,0.284421664,,,
WT,103,-0.005956022,-0.00661555,TA 1,0.301248963,241.106147,0.005214112,0.004755062,,0.301930804,,,
WT,104,0.035936769,0.003704836,Late Enterocyte,0.234857537,167.310714,0.013511544,0.009002585,,0.239955219,,,
WT,105,-0.008819886,0.011921558,revCSC,0.348974281,248.3255332,0.009527779,0.004813433,Y,0.362689287,,,
WT,106,-0.003540484,-0.008309563,TA 1,0.301248963,241.106147,0.005324634,0.004755062,,0.302094966,,,
WT,107,0.012983611,-0.009036548,Early Enterocyte,0.268803969,218.0722803,0.007147742,0.006641666,,0.269398982,,,
WT,108,0.025800483,-0.0004,Late Enterocyte,0.234857537,167.310714,0.009418452,0.009002585,,0.235327702,,,
WT,109,0.004891455,0.003981058,revCSC,0.348974281,248.3255332,0.009324203,0.004813433,Y,0.362689287,,,
WT,110,0.018745077,-0.006154114,Late Enterocyte,0.234857537,167.310714,0.011093995,0.009002585,,0.237222017,,,
WT,111,0.030596784,0.006251396,Late Enterocyte,0.234857537,167.310714,0.012516596,0.009002585,Y,0.255213593,,,
WT,112,0.009221885,0.006369719,ER Stress,0.277051733,137.3284961,0.010598967,0.005853808,,0.287103421,,,
WT,113,0.031292261,-0.000161,Late Enterocyte,0.234857537,167.310714,0.009596754,0.009002585,,0.235529285,,,
WT,114,0.014813269,-0.010059545,Early Enterocyte,0.268803969,218.0722803,0.00775989,0.006641666,,0.270118706,,,
WT,115,0.024130358,0.017692855,Goblet / DCS,0.244543009,205.206332,0.016615415,0.0136771,Y,0.261139896,,,
WT,116,0.033352458,0.00046,Late Enterocyte,0.234857537,167.310714,0.010730862,0.009002585,,0.236811471,,,
WT,117,0.023621564,-0.003146761,Late Enterocyte,0.234857537,167.310714,0.010072377,0.009002585,,0.236067008,,,
WT,118,0.003439882,-0.010139742,TA 1,0.301248963,241.106147,0.008537329,0.004755062,,0.306866879,,,
WT,119,0.009381365,-0.006934489,Early Enterocyte,0.268803969,218.0722803,0.007891161,0.006641666,Y,0.284421664,,,
WT,120,0.009381365,-0.006934489,Early Enterocyte,0.268803969,218.0722803,0.007891161,0.006641666,Y,0.284421664,,,
WT,121,0.009846461,-0.01434802,Early Enterocyte,0.268803969,218.0722803,0.008296347,0.006641666,Y,0.284421664,,,
WT,122,0.02375161,-0.004382071,Late Enterocyte,0.234857537,167.310714,0.010318029,0.009002585,,0.236344735,,,
WT,123,-0.007024478,-0.004849527,TA 1,0.301248963,241.106147,0.005591033,0.004755062,,0.302490657,,,
WT,124,0.013713524,-0.014460222,Early Enterocyte,0.268803969,218.0722803,0.00857912,0.006641666,Y,0.284421664,,,
WT,125,-0.01711661,-0.005326467,CSC,0.338042503,258.6659283,0.012052086,0.005480045,,0.345937725,,,
WT,126,0.03467484,0.005431605,Late Enterocyte,0.234857537,167.310714,0.013554274,0.009002585,,0.240003528,,,
WT,127,0.011820929,-0.007956991,Late Enterocyte,0.234857537,167.310714,0.017686337,0.009002585,,0.244675102,,,
WT,128,0.041258027,0.018275263,Late Enterocyte,0.234857537,167.310714,0.024300526,0.009002585,,0.252152888,,,
WT,129,-0.012929026,-0.003963416,TA 1,0.301248963,241.106147,0.010343293,0.004755062,,0.309549332,,,
WT,130,0.023885405,-0.007561567,Late Enterocyte,0.234857537,167.310714,0.01148369,0.009002585,,0.237662593,,,
WT,131,-0.002285287,-0.003066296,TA 1,0.301248963,241.106147,0.006018845,0.004755062,,0.303126098,,,
WT,132,0.029060739,-0.001947834,Late Enterocyte,0.234857537,167.310714,0.009543884,0.009002585,,0.235469512,,,
WT,133,-0.002462648,-0.000296,TA 2,0.28071078,227.7227682,0.007725142,0.00446672,,0.28616584,,,
WT,134,0.012671225,-0.007824636,Late Enterocyte,0.234857537,167.310714,0.016865854,0.009002585,,0.243747492,,,
WT,135,-0.001629054,0.002890379,revCSC,0.348974281,248.3255332,0.005599084,0.004813433,,0.350093567,,,
WT,136,0.041719311,0.037680191,Late Enterocyte,0.234857537,167.310714,0.043649179,0.009002585,,0.274027842,,,
WT,137,0.021686568,0.00454535,Goblet / DCS,0.244543009,205.206332,0.018904919,0.0136771,Y,0.261139896,,,
WT,138,0.02255076,0.008791888,Goblet / DCS,0.244543009,205.206332,0.018376008,0.0136771,Y,0.261139896,,,
WT,139,-0.002376727,0.00521079,revCSC,0.348974281,248.3255332,0.005200508,0.004813433,,0.349525731,,,
WT,140,-0.007113879,-0.000457,revCSC,0.348974281,248.3255332,0.008381806,0.004813433,,0.354057997,,,
WT,141,0.024592338,0.038971866,Goblet / DCS,0.244543009,205.206332,0.02673793,0.0136771,,0.252467536,,,
WT,142,0.026257314,-0.004600371,Late Enterocyte,0.234857537,167.310714,0.010403004,0.009002585,,0.236440805,,,
WT,143,0.027223642,-0.00376364,Late Enterocyte,0.234857537,167.310714,0.010170995,0.009002585,,0.236178503,,,
WT,144,0.00042,-0.010356509,TA 1,0.301248963,241.106147,0.006756693,0.004755062,,0.304222046,,,
WT,145,-0.006588453,-0.000672,TA 1,0.301248963,241.106147,0.007620679,0.004755062,,0.305505351,,,
WT,146,0.002580096,0.018826689,ER Stress,0.277051733,137.3284961,0.007506752,0.005853808,,0.280553171,,,
WT,147,0.036855159,0.009001065,Early Enterocyte,0.268803969,218.0722803,0.035182957,0.006641666,Y,0.284421664,,,
WT,148,-0.003550376,-0.005363429,TA 1,0.301248963,241.106147,0.0048257,0.004755062,,0.301353885,,,
WT,149,0.019573443,-0.003018081,Late Enterocyte,0.234857537,167.310714,0.010316373,0.009002585,,0.236342863,,,
WT,150,0.035682716,0.003525076,Late Enterocyte,0.234857537,167.310714,0.013309366,0.009002585,,0.239726643,,,
WT,151,0.019689108,-0.00543697,Late Enterocyte,0.234857537,167.310714,0.010617685,0.009002585,,0.236683516,,,
WT,152,0.003286786,0.007929418,ER Stress,0.277051733,137.3284961,0.008050369,0.005853808,Y,0.301852021,,,
WT,153,0.001049365,-0.003462505,Early Enterocyte,0.268803969,218.0722803,0.013707963,0.006641666,Y,0.284421664,,,
WT,154,0.018290197,-0.006262498,Late Enterocyte,0.234857537,167.310714,0.011313769,0.009002585,,0.237470486,,,
WT,155,0.006625569,-0.009612247,TA 1,0.301248963,241.106147,0.011061499,0.004755062,,0.310616105,,,
WT,156,-0.005275642,-0.008656037,TA 1,0.301248963,241.106147,0.005734789,0.004755062,,0.302704182,,,
WT,157,0.002638376,0.006021985,TA 2,0.28071078,227.7227682,0.013543062,0.00446672,,0.295905863,,,
WT,158,0.03969604,0.01442759,Early Enterocyte,0.268803969,218.0722803,0.006641666,0.006641666,Y,0.284421664,,,
WT,159,0.023680611,-0.009798824,Early Enterocyte,0.268803969,218.0722803,0.013751399,0.006641666,Y,0.284421664,,,
WT,160,0.027216199,-0.000201,Late Enterocyte,0.234857537,167.310714,0.009145063,0.009002585,,0.235018618,,,
WT,161,0.025233912,-0.002085267,Late Enterocyte,0.234857537,167.310714,0.009801853,0.009002585,,0.235761163,,,
WT,162,0.042166654,0.031558552,Late Enterocyte,0.234857537,167.310714,0.037536022,0.009002585,,0.267116506,,,
WT,163,-0.004833191,-0.009287436,TA 1,0.301248963,241.106147,0.005965464,0.004755062,,0.303046811,,,
WT,164,0.015719072,-0.004356791,Goblet / DCS,0.244543009,205.206332,0.021370899,0.0136771,Y,0.261139896,,,
WT,165,0.017553207,-0.006171764,Late Enterocyte,0.234857537,167.310714,0.011736742,0.009002585,,0.237948685,,,
WT,166,0.000792,-0.00932285,TA 1,0.301248963,241.106147,0.006294406,0.004755062,,0.303535398,,,
WT,167,0.001118037,0.021005818,ER Stress,0.277051733,137.3284961,0.009632312,0.005853808,Y,0.301852021,,,
WT,168,0.035571356,0.005680423,Late Enterocyte,0.234857537,167.310714,0.01404994,0.009002585,,0.240563911,,,
WT,169,0.00878809,0.012892724,ER Stress,0.277051733,137.3284961,0.008468964,0.005853808,Y,0.301852021,,,
WT,170,0.022611278,-0.001338721,Late Enterocyte,0.234857537,167.310714,0.010203053,0.009002585,,0.236214746,,,
WT,171,0.003837714,0.021491147,ER Stress,0.277051733,137.3284961,0.009884488,0.005853808,,0.285589939,,,
WT,172,0.017579867,-0.00941989,Early Enterocyte,0.268803969,218.0722803,0.0094043,0.006641666,,0.272052098,,,
WT,173,-0.028988653,0.010475143,proCSC,0.389112168,235.940056,0.007055483,0.005289637,,0.391521587,,,
WT,174,0.039915232,0.012949541,Early Enterocyte,0.268803969,218.0722803,0.006641666,0.006641666,,0.268803969,,,
WT,175,-0.012068674,-0.005653777,TA 1,0.301248963,241.106147,0.009310366,0.004755062,,0.308015093,,,
WT,176,0.004554177,-0.012160719,CSC,0.338042503,258.6659283,0.011153543,0.005480045,,0.344858273,,,
WT,177,0.002265657,0.009897188,TA 2,0.28071078,227.7227682,0.015868746,0.00446672,Y,0.295666624,,,
WT,178,0.028960004,0.002830847,Late Enterocyte,0.234857537,167.310714,0.009601604,0.009002585,,0.235534768,,,
WT,179,0.017956257,-0.008702525,Late Enterocyte,0.234857537,167.310714,0.012822309,0.009002585,,0.239175992,,,
WT,180,0.041470281,0.038140368,Late Enterocyte,0.234857537,167.310714,0.009002585,0.009002585,Y,0.255213593,,,
WT,181,0.041711499,0.028447339,Late Enterocyte,0.234857537,167.310714,0.034396426,0.009002585,Y,0.255213593,,,
WT,182,-0.017598486,-0.002259031,proCSC,0.389112168,235.940056,0.011091174,0.005289637,,0.397028114,,,
WT,183,0.001726305,-0.000249,revCSC,0.348974281,248.3255332,0.00809011,0.004813433,,0.353642431,,,
WT,184,-0.012420539,-0.008011758,CSC,0.338042503,258.6659283,0.007407183,0.005480045,,0.340357641,,,
WT,185,0.008088664,0.012920781,ER Stress,0.277051733,137.3284961,0.008022822,0.005853808,Y,0.301852021,,,
WT,186,0.019448587,-0.005587959,Late Enterocyte,0.234857537,167.310714,0.010724335,0.009002585,,0.236804091,,,
WT,187,0.002043783,0.010152332,TA 2,0.28071078,227.7227682,0.015918388,0.00446672,,0.299882497,,,
WT,188,0.013044881,-0.012965846,Early Enterocyte,0.268803969,218.0722803,0.007710161,0.006641666,,0.270060238,,,
WT,189,0.019661802,-0.006150691,Late Enterocyte,0.234857537,167.310714,0.01080729,0.009002585,,0.236897877,,,
WT,190,0.024070089,0.016018834,Goblet / DCS,0.244543009,205.206332,0.01737808,0.0136771,,0.246788541,,,
WT,191,0.016988328,-0.007215548,Late Enterocyte,0.234857537,167.310714,0.012586549,0.009002585,,0.23890945,,,
WT,192,-0.008161321,-0.006309307,TA 1,0.301248963,241.106147,0.006093266,0.004755062,,0.303236638,,,
WT,193,-0.003472071,-0.006057544,TA 1,0.301248963,241.106147,0.004770101,0.004755062,,0.301271302,,,
WT,194,-0.004479028,-0.005221773,TA 1,0.301248963,241.106147,0.004958739,0.004755062,,0.301551491,,,
WT,195,0.011094084,-0.007164609,Early Enterocyte,0.268803969,218.0722803,0.007629103,0.006641666,Y,0.284421664,,,
WT,196,0.020844961,-0.011594885,Early Enterocyte,0.268803969,218.0722803,0.011836491,0.006641666,,0.274911714,,,
WT,197,0.024662753,-0.004659852,Late Enterocyte,0.234857537,167.310714,0.010445894,0.009002585,,0.236489295,,,
WT,198,0.011795606,-0.009023461,Early Enterocyte,0.268803969,218.0722803,0.006847989,0.006641666,,0.269046551,,,
WT,199,0.024192189,-0.001096271,Late Enterocyte,0.234857537,167.310714,0.009898147,0.009002585,,0.23587003,,,
WT,200,0.030084589,-0.003554855,Late Enterocyte,0.234857537,167.310714,0.010144036,0.009002585,Y,0.255213593,,,
WT,201,0.034308275,0.000598,Late Enterocyte,0.234857537,167.310714,0.011566755,0.009002585,,0.237756504,,,
WT,202,0.036763358,0.004649651,Late Enterocyte,0.234857537,167.310714,0.014286665,0.009002585,Y,0.255213593,,,
WT,203,-0.00919886,-0.007400672,TA 1,0.301248963,241.106147,0.006848988,0.004755062,,0.304359135,,,
WT,204,0.032910721,0.005284572,Late Enterocyte,0.234857537,167.310714,0.012633129,0.009002585,,0.238962111,,,
WT,205,0.041987143,0.036622254,Late Enterocyte,0.234857537,167.310714,0.042579088,0.009002585,Y,0.255213593,,,
WT,206,0.039163823,0.014892428,Late Enterocyte,0.234857537,167.310714,0.021475702,0.009002585,Y,0.255213593,,,
WT,207,-0.027025235,0.005154606,proCSC,0.389112168,235.940056,0.006248368,0.005289637,,0.390420314,,,
WT,208,0.001834655,1.28E-05,revCSC,0.348974281,248.3255332,0.008009817,0.004813433,,0.35352804,,,
WT,209,0.026985733,-0.005708922,Late Enterocyte,0.234857537,167.310714,0.010949617,0.009002585,Y,0.255213593,,,
WT,210,0.022347541,-0.008021041,Early Enterocyte,0.268803969,218.0722803,0.012870646,0.006641666,,0.276127607,,,
WT,211,0.000432,-0.011754491,TA 1,0.301248963,241.106147,0.007759563,0.004755062,Y,0.315374635,,,
WT,212,0.031096705,-0.000701,Late Enterocyte,0.234857537,167.310714,0.00950276,0.009002585,,0.235423018,,,
WT,213,0.038230863,0.007984503,Late Enterocyte,0.234857537,167.310714,0.01686488,0.009002585,Y,0.255213593,,,
WT,214,0.005324276,-0.008898022,TA 1,0.301248963,241.106147,0.00965045,0.004755062,,0.308520231,,,
WT,215,-0.004349088,-0.005157313,TA 1,0.301248963,241.106147,0.004914782,0.004755062,,0.3014862,,,
WT,216,0.031573702,0.000937,Late Enterocyte,0.234857537,167.310714,0.009781737,0.009002585,,0.235738421,,,
WT,217,0.042439862,0.031849071,Late Enterocyte,0.234857537,167.310714,0.037854004,0.009002585,Y,0.255213593,,,
WT,218,0.00342531,0.018771016,ER Stress,0.277051733,137.3284961,0.00733788,0.005853808,,0.280195449,,,
WT,219,0.001924645,0.01961761,ER Stress,0.277051733,137.3284961,0.008240787,0.005853808,,0.282108081,,,
WT,220,-0.0019569,0.005006728,revCSC,0.348974281,248.3255332,0.005320383,0.004813433,,0.349696512,,,
WT,221,0.016181602,-0.013069544,Early Enterocyte,0.268803969,218.0722803,0.00916899,0.006641666,,0.271775436,,,
WT,222,0.002754125,0.019851852,ER Stress,0.277051733,137.3284961,0.00840377,0.005853808,,0.282453328,,,
WT,223,-0.006594203,-0.00652996,TA 1,0.301248963,241.106147,0.005386065,0.004755062,,0.302186212,,,
WT,224,-0.00631612,-0.006511184,TA 1,0.301248963,241.106147,0.005312152,0.004755062,,0.302076426,,,
WT,225,0.002220045,0.020022745,ER Stress,0.277051733,137.3284961,0.008627475,0.005853808,,0.282927203,,,
WT,226,-0.023869131,0.00534718,proCSC,0.389112168,235.940056,0.006045377,0.005289637,,0.390143342,,,
