AUC,avg_diff,power,avg_logFC,pct.1,pct.2,cluster,gene
0.78,1.080839749,0.56,1.080839749,0.579,0.024,Endothelial,APOLD1
0.78,0.849572428,0.56,0.849572428,0.777,0.296,Endothelial,TACC1
0.779,0.886059855,0.558,0.886059855,0.69,0.145,Endothelial,NQO1
0.779,0.831176493,0.558,0.831176493,0.69,0.148,Endothelial,LMCD1
0.778,0.768317048,0.556,0.768317048,0.583,0.029,Endothelial,CDC42EP3
0.776,0.938350279,0.552,0.938350279,0.558,0.007,Endothelial,ADGRF5
0.776,0.855725745,0.552,0.855725745,0.587,0.036,Endothelial,C1orf54
0.773,0.680828324,0.546,0.680828324,0.855,0.486,Endothelial,FXYD5
0.771,0.755518634,0.542,0.755518634,0.777,0.312,Endothelial,ACTN4
0.771,0.753638287,0.542,0.753638287,0.686,0.173,Endothelial,CLIC2
0.229,-1.256683339,0.542,-1.256683339,0.388,0.721,Endothelial,CEBPD
0.77,0.942329491,0.54,0.942329491,0.612,0.086,Endothelial,HEG1
0.77,0.673291046,0.54,0.673291046,0.876,0.536,Endothelial,SH3BGRL3
0.23,-1.219122175,0.54,-1.219122175,0.413,0.703,Endothelial,PROCR
0.769,2.276759276,0.538,2.276759276,0.558,0.033,Endothelial,CD36
0.769,0.804052997,0.538,0.804052997,0.707,0.2,Endothelial,PIM3
0.768,1.052183194,0.536,1.052183194,0.603,0.083,Endothelial,FAM107A
0.768,0.714551959,0.536,0.714551959,0.715,0.216,Endothelial,LRRFIP1
0.767,0.91791767,0.534,0.91791767,0.702,0.182,Endothelial,RBP5
0.766,0.631730142,0.532,0.631730142,0.967,0.824,Endothelial,ID3
0.234,-1.471286156,0.532,-1.471286156,0.347,0.693,Endothelial,PMP22
0.234,-1.912011906,0.532,-1.912011906,0.777,0.891,Endothelial,CCL2
0.765,0.695324661,0.53,0.695324661,0.537,0.006,Endothelial,PRKCH
0.235,-1.061453657,0.53,-1.061453657,0.099,0.583,Endothelial,CLEC11A
0.763,0.799724315,0.526,0.799724315,0.562,0.057,Endothelial,OCIAD2
0.763,0.785874634,0.526,0.785874634,0.64,0.134,Endothelial,LIFR
0.237,-1.38352102,0.526,-1.38352102,0.136,0.593,Endothelial,LINC01082
0.237,-3.33065731,0.526,-3.33065731,0.533,0.758,Endothelial,ADAMDEC1
0.761,0.676770611,0.522,0.676770611,0.798,0.379,Endothelial,CYB5A
0.239,-1.132540242,0.522,-1.132540242,0.318,0.68,Endothelial,CEBPB
0.76,1.14941899,0.52,1.14941899,0.525,0.006,Endothelial,SLC14A1
0.76,0.67758893,0.52,0.67758893,0.839,0.491,Endothelial,KTN1
0.759,0.732993661,0.518,0.732993661,0.955,0.852,Endothelial,TXNIP
0.759,0.688335276,0.518,0.688335276,0.707,0.243,Endothelial,CFLAR
0.758,0.720386129,0.516,0.720386129,0.826,0.429,Endothelial,COX17
0.758,0.708247814,0.516,0.708247814,0.62,0.108,Endothelial,MTUS1
0.758,0.695324408,0.516,0.695324408,0.843,0.444,Endothelial,CAPZA2
0.758,0.532229475,0.516,0.532229475,0.62,0.083,Endothelial,SORBS2
0.758,0.486968509,0.516,0.486968509,0.959,0.846,Endothelial,RAC1
0.242,-1.166386005,0.516,-1.166386005,0.132,0.589,Endothelial,RGS10
0.757,1.320666664,0.514,1.320666664,0.905,0.655,Endothelial,NPC2
0.756,0.792133144,0.512,0.792133144,0.533,0.023,Endothelial,NOTCH4
0.756,0.721253716,0.512,0.721253716,0.682,0.184,Endothelial,NDRG1
0.756,0.466638149,0.512,0.466638149,0.992,0.925,Endothelial,CFL1
0.753,0.666334168,0.506,0.666334168,0.517,0.009,Endothelial,TMEM255B
0.753,0.654167681,0.506,0.654167681,0.661,0.165,Endothelial,HPCAL1
0.753,0.490568298,0.506,0.490568298,1,0.937,Endothelial,IFITM3
0.247,-1.099216774,0.506,-1.099216774,0.157,0.595,Endothelial,SDC2
0.752,0.842802445,0.504,0.842802445,0.508,0.004,Endothelial,FAM110D
0.75,0.882232919,0.5,0.882232919,0.508,0.007,Endothelial,HLA-DQB1
0.75,0.81959085,0.5,0.81959085,0.657,0.18,Endothelial,TMEM204
0.75,0.674291893,0.5,0.674291893,0.55,0.046,Endothelial,HOXB7
0.25,-0.507107016,0.5,-0.507107016,0.979,0.985,Endothelial,CD63
0.25,-0.731520004,0.5,-0.731520004,1,0.985,Endothelial,S100A6
0.749,0.838408123,0.498,0.838408123,0.653,0.207,Endothelial,PDCD4
0.749,0.701970857,0.498,0.701970857,0.512,0.016,Endothelial,PKP4
0.749,0.647036002,0.498,0.647036002,0.773,0.347,Endothelial,ACVRL1
0.748,0.696634924,0.496,0.696634924,0.562,0.062,Endothelial,NRP1
0.748,0.612666041,0.496,0.612666041,0.798,0.36,Endothelial,SPTBN1
0.252,-0.899447227,0.496,-0.899447227,0.083,0.546,Endothelial,CD44
0.252,-1.503432853,0.496,-1.503432853,0.103,0.556,Endothelial,STMN2
0.747,0.682837136,0.494,0.682837136,0.781,0.357,Endothelial,GAS6
0.747,0.680024883,0.494,0.680024883,0.752,0.319,Endothelial,MSN
0.747,0.602329675,0.494,0.602329675,0.942,0.773,Endothelial,TAGLN2
0.747,0.510205995,0.494,0.510205995,0.979,0.853,Endothelial,MYL12B
0.253,-1.374513195,0.494,-1.374513195,0.128,0.569,Endothelial,FXYD1
0.746,0.526148972,0.492,0.526148972,0.979,0.865,Endothelial,YBX1
0.745,0.719676281,0.49,0.719676281,0.562,0.079,Endothelial,SYNPO
0.744,0.779757905,0.488,0.779757905,0.897,0.6,Endothelial,TSC22D1
0.743,0.82919817,0.486,0.82919817,0.624,0.159,Endothelial,DUSP6
0.743,0.747217013,0.486,0.747217013,0.558,0.091,Endothelial,TSPAN13
0.743,0.349220429,0.486,0.349220429,1,0.997,Endothelial,EIF1
0.742,0.765375388,0.484,0.765375388,0.521,0.039,Endothelial,PIK3R3
0.742,0.64029698,0.484,0.64029698,0.541,0.057,Endothelial,MKL2
0.742,0.607290948,0.484,0.607290948,0.839,0.548,Endothelial,NOP10
0.26,-0.943842008,0.48,-0.943842008,0.095,0.536,Endothelial,MXRA8
0.738,0.925660805,0.476,0.925660805,0.579,0.128,Endothelial,DUSP23
0.738,0.894431041,0.476,0.894431041,0.479,0.005,Endothelial,KDR
0.262,-1.46129525,0.476,-1.46129525,0.058,0.512,Endothelial,ADH1B
0.737,0.709364133,0.474,0.709364133,0.537,0.064,Endothelial,EFNA1
0.737,0.645836123,0.474,0.645836123,0.483,0.011,Endothelial,ADCY4
0.737,0.579650173,0.474,0.579650173,0.483,0.009,Endothelial,TEK
0.737,0.494017353,0.474,0.494017353,0.95,0.833,Endothelial,TUBA1B
0.736,0.72642198,0.472,0.72642198,0.541,0.074,Endothelial,NUAK1
0.736,0.566266394,0.472,0.566266394,0.913,0.745,Endothelial,CLIC1
0.735,0.67264043,0.47,0.67264043,0.508,0.036,Endothelial,GPR146
0.735,0.63035044,0.47,0.63035044,0.595,0.128,Endothelial,MAP3K11
0.735,0.620159213,0.47,0.620159213,0.996,0.953,Endothelial,ACTG1
0.735,0.597839352,0.47,0.597839352,0.632,0.163,Endothelial,LIPA
0.735,0.588406822,0.47,0.588406822,0.727,0.307,Endothelial,GNAI2
0.265,-0.43721915,0.47,-0.43721915,0.992,0.998,Endothelial,FTL
0.734,0.800252757,0.468,0.800252757,0.669,0.224,Endothelial,NCOA7
0.734,0.584840343,0.468,0.584840343,0.558,0.085,Endothelial,CRIM1
0.734,0.560483666,0.468,0.560483666,0.901,0.61,Endothelial,ARPC3
0.733,0.55530955,0.466,0.55530955,0.5,0.031,Endothelial,RASIP1
0.733,0.542286422,0.466,0.542286422,0.471,0.004,Endothelial,SCARF1
0.267,-0.567018969,0.466,-0.567018969,0.983,0.998,Endothelial,JUN
0.732,0.978138987,0.464,0.978138987,0.529,0.079,Endothelial,RND1
0.732,0.731060801,0.464,0.731060801,0.781,0.409,Endothelial,IFI6
0.732,0.607410659,0.464,0.607410659,0.574,0.109,Endothelial,RILPL2
0.732,0.583738952,0.464,0.583738952,0.479,0.015,Endothelial,KANK3
0.732,0.519805647,0.464,0.519805647,0.913,0.717,Endothelial,GABARAPL2
0.731,0.830339072,0.462,0.830339072,0.558,0.098,Endothelial,CTNNAL1
0.731,0.632160261,0.462,0.632160261,0.483,0.021,Endothelial,EVA1C
0.731,0.597758124,0.462,0.597758124,0.521,0.055,Endothelial,TNFAIP1
0.731,0.525482021,0.462,0.525482021,0.934,0.789,Endothelial,SNX3
0.731,0.484667504,0.462,0.484667504,0.917,0.721,Endothelial,GUK1
0.269,-0.704636932,0.462,-0.704636932,0.624,0.826,Endothelial,EMP3
0.73,0.798878483,0.46,0.798878483,0.864,0.631,Endothelial,LY6E
0.73,0.535143657,0.46,0.535143657,0.599,0.132,Endothelial,INPP1
0.73,0.529402426,0.46,0.529402426,0.467,0.006,Endothelial,GIMAP8
0.73,0.500499735,0.46,0.500499735,0.624,0.153,Endothelial,MOB2
0.729,0.63027198,0.458,0.63027198,0.781,0.422,Endothelial,RDX
0.729,0.619021928,0.458,0.619021928,0.785,0.445,Endothelial,ETS2
0.729,0.569270333,0.458,0.569270333,0.851,0.515,Endothelial,IFI16
0.271,-0.954558477,0.458,-0.954558477,0.066,0.5,Endothelial,NOVA1
0.727,0.659977202,0.454,0.659977202,0.463,0.008,Endothelial,AKR1C3
0.727,0.571523387,0.454,0.571523387,0.471,0.015,Endothelial,HYAL1
0.727,0.540948289,0.454,0.540948289,0.566,0.12,Endothelial,SVIP
0.273,-0.737668325,0.454,-0.737668325,0.926,0.967,Endothelial,EGR1
0.273,-1.272930952,0.454,-1.272930952,0.074,0.5,Endothelial,ABCA8
0.726,0.611071829,0.452,0.611071829,0.521,0.067,Endothelial,LIMS2
0.726,0.547899169,0.452,0.547899169,0.632,0.186,Endothelial,ELF1
0.274,-0.599486024,0.452,-0.599486024,0.909,0.979,Endothelial,FOSB
0.274,-0.876807426,0.452,-0.876807426,0.079,0.506,Endothelial,LRP1
0.274,-0.954116837,0.452,-0.954116837,0.066,0.492,Endothelial,SPON2
0.725,0.581671831,0.45,0.581671831,0.57,0.111,Endothelial,LIMCH1
0.725,0.491441353,0.45,0.491441353,0.897,0.658,Endothelial,YWHAE
0.276,-0.938941572,0.448,-0.938941572,0.153,0.537,Endothelial,ECM1
0.723,0.592620258,0.446,0.592620258,0.595,0.166,Endothelial,ARPC5L
0.277,-0.393995051,0.446,-0.393995051,1,0.996,Endothelial,RPL13A
0.277,-0.908613714,0.446,-0.908613714,0.074,0.499,Endothelial,CTSK
0.722,0.656170644,0.444,0.656170644,0.872,0.534,Endothelial,ID2
0.278,-0.643746232,0.444,-0.643746232,0.996,0.996,Endothelial,FOS
0.721,0.579436095,0.442,0.579436095,0.459,0.015,Endothelial,SHE
0.721,0.542575622,0.442,0.542575622,0.554,0.11,Endothelial,PDLIM5
0.721,0.494904677,0.442,0.494904677,0.508,0.061,Endothelial,TSPAN14
0.279,-1.413755763,0.442,-1.413755763,0.624,0.759,Endothelial,CTSC
0.72,0.606460857,0.44,0.606460857,0.558,0.122,Endothelial,ARL4A
0.72,0.533431675,0.44,0.533431675,0.463,0.021,Endothelial,MAGI1
0.72,0.526398187,0.44,0.526398187,0.764,0.387,Endothelial,ARL2
0.72,0.512175773,0.44,0.512175773,0.727,0.305,Endothelial,PTTG1IP
0.28,-1.014967627,0.44,-1.014967627,0.322,0.609,Endothelial,NBL1
0.281,-1.105705521,0.438,-1.105705521,0.087,0.49,Endothelial,DKK3
0.282,-1.159297561,0.436,-1.159297561,0.112,0.5,Endothelial,APOC1
0.718,0.600676997,0.436,0.600676997,0.719,0.316,Endothelial,ATP1B3
0.283,-1.140298361,0.434,-1.140298361,0.083,0.481,Endothelial,CCDC80
0.717,1.013364583,0.434,1.013364583,0.455,0.022,Endothelial,AQP1
0.717,0.645759627,0.434,0.645759627,0.45,0.015,Endothelial,GPRC5B
0.717,0.544425938,0.434,0.544425938,0.657,0.211,Endothelial,PLS3
0.717,0.52778876,0.434,0.52778876,0.566,0.123,Endothelial,CCND3
0.284,-1.148235087,0.432,-1.148235087,0.289,0.608,Endothelial,C11orf96
0.716,0.53106077,0.432,0.53106077,0.545,0.117,Endothelial,PARVB
0.285,-0.807463951,0.43,-0.807463951,0.178,0.54,Endothelial,AEBP1
0.715,0.518828819,0.43,0.518828819,0.632,0.212,Endothelial,SNAP23
0.286,-1.036684045,0.428,-1.036684045,0.074,0.471,Endothelial,SCARA5
0.714,0.493239487,0.428,0.493239487,0.678,0.267,Endothelial,HSD17B12
0.714,0.329702606,0.428,0.329702606,0.661,0.213,Endothelial,AP1S2
0.287,-1.081870097,0.426,-1.081870097,0.178,0.537,Endothelial,RND3
0.713,0.746816349,0.426,0.746816349,0.525,0.102,Endothelial,VWA1
0.713,0.549733643,0.426,0.549733643,0.587,0.152,Endothelial,ETS1
0.713,0.546359331,0.426,0.546359331,0.661,0.246,Endothelial,IFNGR1
