CellType,Background,geneID,expT,meanT,logR,pval,fdr,auc,covModelPval,covModelFDR
cE01 (Stem/TA-like),Top_Epi,RPL10A,0.97327186,4.37941396,0.479013809,0,0,0.712608603,0,0
cE01 (Stem/TA-like),Top_Epi,RPS12,0.995824736,5.823105438,0.339229693,0,0,0.711941925,0,0
cE01 (Stem/TA-like),Top_Epi,RPL14,0.979639541,4.447153005,0.412281173,0,0,0.711020118,0,0
cE01 (Stem/TA-like),Top_Epi,RPL11,0.991294816,5.092062153,0.303430892,0,0,0.71017712,0,0
cE01 (Stem/TA-like),Top_Epi,RPL31,0.983943771,4.527860214,0.43103867,0,0,0.708419687,0,0
cE01 (Stem/TA-like),Top_Epi,RPS7,0.96625935,4.53419469,0.45153604,0,0,0.708233395,0,0
cE01 (Stem/TA-like),Top_Epi,RPS9,0.980155404,4.559072684,0.34660263,0,0,0.706774395,0,0
cE01 (Stem/TA-like),Top_Epi,RPS27A,0.986055584,5.07240397,0.355361746,0,0,0.70650426,0,0
cE01 (Stem/TA-like),Top_Epi,RPS3,0.991117488,5.236454146,0.348865161,0,0,0.705800007,0,0
cE01 (Stem/TA-like),Top_Epi,RPL5,0.94926812,3.911976787,0.521611377,0,0,0.705720547,0,0
cE01 (Stem/TA-like),Top_Epi,RPL26,0.988489812,5.05424871,0.380423788,0,0,0.704892449,0,0
cE01 (Stem/TA-like),Top_Epi,RPL37A,0.993600077,5.338760998,0.332172485,0,0,0.704286222,0,0
cE01 (Stem/TA-like),Top_Epi,RPS3A,0.983105494,4.900873969,0.389721025,0,0,0.703590686,0,0
cE01 (Stem/TA-like),Top_Epi,RPL34,0.990795074,5.273675053,0.318130722,0,0,0.703444946,0,0
cE01 (Stem/TA-like),Top_Epi,RPL7,0.978091953,4.87688926,0.436394683,0,0,0.702904458,0,0
cE01 (Stem/TA-like),Top_Epi,RPL15,0.975012897,4.588949999,0.403836665,0,0,0.702443501,0,0
cE01 (Stem/TA-like),Top_Epi,RPS5,0.974835569,4.49030082,0.429957393,0,0,0.702412325,0,0
cE01 (Stem/TA-like),Top_Epi,RPL6,0.962696673,4.124323841,0.466237036,0,0,0.702364189,0,0
cE01 (Stem/TA-like),Top_Epi,RPS4X,0.983653598,5.074187752,0.384460449,0,0,0.702049638,0,0
cE01 (Stem/TA-like),Top_Epi,RPS14,0.991875161,5.411961189,0.306077557,0,0,0.699719758,0,0
cE01 (Stem/TA-like),Top_Epi,RPS23,0.984814289,4.956684421,0.38060871,0,0,0.699620312,0,0
cE01 (Stem/TA-like),Top_Epi,RPL23A,0.98391153,4.825197598,0.364270888,0,0,0.699611129,0,0
cE01 (Stem/TA-like),Top_Epi,RPL7A,0.976737813,4.639490115,0.393714239,0,0,0.698986798,0,0
cE01 (Stem/TA-like),Top_Epi,RPS13,0.977398762,4.512853377,0.402044619,0,0,0.69859167,0,0
cE01 (Stem/TA-like),Top_Epi,RPS28,0.988425329,5.265237483,0.305314401,0,0,0.69845491,0,0
cE01 (Stem/TA-like),Top_Epi,RPLP0,0.980219887,4.546054466,0.411285413,0,0,0.698167723,0,0
cE01 (Stem/TA-like),Top_Epi,RPL8,0.993406629,5.311758021,0.319675921,0,0,0.696758637,0,0
cE01 (Stem/TA-like),Top_Epi,RPL36,0.995131545,5.390816878,0.303319505,0,0,0.69542792,0,0
cE01 (Stem/TA-like),Top_Epi,RPL24,0.960278566,3.97996143,0.396921391,0,0,0.694609834,0,0
cE01 (Stem/TA-like),Top_Epi,RPL19,0.987200155,4.9510612,0.336523105,0,0,0.693922015,0,0
cE01 (Stem/TA-like),Top_Epi,RPL22,0.951960279,3.719922669,0.457388784,0,0,0.693676473,0,0
cE01 (Stem/TA-like),Top_Epi,RPL3,0.984137219,4.90151555,0.368677261,0,0,0.693647778,0,0
cE01 (Stem/TA-like),Top_Epi,RACK1,0.960197962,4.036475957,0.391526796,0,0,0.693218391,0,0
cE01 (Stem/TA-like),Top_Epi,RPS15,0.996356719,5.429738531,0.294383228,0,0,0.693044418,0,0
cE01 (Stem/TA-like),Top_Epi,NACA,0.929294558,3.579112716,0.437751111,0,0,0.692993307,0,0
cE01 (Stem/TA-like),Top_Epi,RPL9,0.971901599,4.464582357,0.338091023,0,0,0.692671429,0,0
cE01 (Stem/TA-like),Top_Epi,RPS16,0.982122131,4.705435786,0.364810936,0,0,0.691900517,0,0
cE01 (Stem/TA-like),Top_Epi,RPS25,0.975915656,4.315506943,0.34600449,0,0,0.691763499,0,0
cE01 (Stem/TA-like),Top_Epi,RPL18,0.981848078,4.773061638,0.306004055,0,0,0.690088562,0,0
cE01 (Stem/TA-like),Top_Epi,RPS11,0.973175135,4.310306651,0.318440623,0,0,0.688552372,0,0
cE01 (Stem/TA-like),Top_Epi,RPS2,0.996276116,5.807706208,0.379796151,0,0,0.687295922,0,0
cE01 (Stem/TA-like),Top_Epi,RPL36A,0.941256126,3.443735141,0.534447909,0,0,0.684856228,0,0
cE01 (Stem/TA-like),Top_Epi,RPL41,0.999516379,6.490548615,0.175957744,0,0,0.684633158,0,0
cE01 (Stem/TA-like),Top_Epi,RPL27A,0.990907918,4.908773309,0.29780003,0,0,0.684484802,0,0
cE01 (Stem/TA-like),Top_Epi,RPLP1,0.996566288,5.915178517,0.259540303,0,0,0.682854208,0,0
cE01 (Stem/TA-like),Top_Epi,RPL23,0.938966985,3.541086505,0.429677233,0,0,0.68216514,0,0
cE01 (Stem/TA-like),Top_Epi,RPS20,0.961584344,4.047769653,0.42323996,0,0,0.681865782,0,0
cE01 (Stem/TA-like),Top_Epi,RPLP2,0.994889734,5.394556757,0.268725791,0,0,0.6789564,0,0
cE01 (Stem/TA-like),Top_Epi,RPS21,0.964856848,4.537742731,0.371432296,0,0,0.676742345,0,0
cE01 (Stem/TA-like),Top_Epi,RPL35,0.991133608,4.876023885,0.343107724,0,0,0.675485722,0,0
cE01 (Stem/TA-like),Top_Epi,RPL38,0.973787722,4.116782838,0.304713381,0,0,0.668734709,0,0
cE01 (Stem/TA-like),Top_Epi,EIF3E,0.813773536,2.145987958,0.668134969,0,0,0.668590395,0,0
cE01 (Stem/TA-like),Top_Epi,RPL27,0.95924684,3.837289328,0.362289651,0,0,0.663273276,0,0
cE01 (Stem/TA-like),Top_Epi,EEF1B2,0.907418752,3.132180496,0.435662138,0,0,0.663098754,0,0
cE01 (Stem/TA-like),Top_Epi,EEF2,0.896440547,2.932860687,0.378384192,0,0,0.660071508,0,0
cE01 (Stem/TA-like),Top_Epi,RPS10,0.925216018,3.312457709,0.412537495,0,0,0.65933278,0,0
cE01 (Stem/TA-like),Top_Epi,ZFAS1,0.812113103,2.287820416,0.616631444,0,0,0.657630921,0,0
cE01 (Stem/TA-like),Top_Epi,RPL4,0.906612716,3.073086883,0.464572201,0,0,0.657589643,0,0
cE01 (Stem/TA-like),Top_Epi,RPSA,0.944125613,3.796501715,0.402277679,0,0,0.655943971,0,0
cE01 (Stem/TA-like),Top_Epi,RPS29,0.987603173,4.914754689,0.2561037,0,0,0.65270642,0,0
cE01 (Stem/TA-like),Top_Epi,COMMD6,0.81952863,2.155669574,0.505289407,0,0,0.651858492,0,0
cE01 (Stem/TA-like),Top_Epi,PABPC1,0.881673975,2.881256149,0.405874482,0,0,0.651509484,0,0
cE01 (Stem/TA-like),Top_Epi,TPT1,0.982654114,5.236577645,0.145934334,0,0,0.651227677,0,0
cE01 (Stem/TA-like),Top_Epi,FTL,0.967210472,4.658102319,0.252879328,0,0,0.644953705,0,0
cE01 (Stem/TA-like),Top_Epi,RPS17,0.877676038,2.637284315,0.517721738,0,0,0.641411679,0,0
cE01 (Stem/TA-like),Top_Epi,GLTSCR2,0.797040237,1.812092549,0.536987657,0,0,0.640856588,0,0
cE01 (Stem/TA-like),Top_Epi,UBA52,0.957328476,3.79326757,0.229027846,0,0,0.637347694,0,0
cE01 (Stem/TA-like),Top_Epi,SLC25A6,0.883205442,2.764354882,0.36098348,0,0,0.631304701,0,0
cE01 (Stem/TA-like),Top_Epi,GPX2,0.794912303,2.206960892,0.517255066,0,0,0.627815442,0,0
cE01 (Stem/TA-like),Top_Epi,BTF3,0.874887155,2.841029373,0.296684985,0,0,0.623202451,0,0
cE01 (Stem/TA-like),Top_Epi,ATP5E,0.944851045,3.66881225,0.204144032,0,0,0.61717089,0,0
cE01 (Stem/TA-like),Top_Epi,ATP5G2,0.863618777,2.497461874,0.317353115,0,0,0.616887842,0,0
cE01 (Stem/TA-like),Top_Epi,PRDX5,0.845998839,2.457352474,0.357599149,0,0,0.615104002,0,0
cE01 (Stem/TA-like),Top_Epi,HNRNPA1,0.873678102,2.576240593,0.371249162,0,0,0.614090578,0,0
cE01 (Stem/TA-like),Top_Epi,EIF3H,0.742149213,1.568957996,0.502683711,0,0,0.611757439,0,0
cE01 (Stem/TA-like),Top_Epi,NPM1,0.851641088,2.503514397,0.40602322,0,0,0.611364053,0,0
cE01 (Stem/TA-like),Top_Epi,FAU,0.95039657,3.81022427,0.178037675,0,0,0.610274343,0,0
cE01 (Stem/TA-like),Top_Epi,PFDN5,0.854542817,2.259875055,0.267283603,0,0,0.607053685,0,0
cE01 (Stem/TA-like),Top_Epi,TOMM7,0.859201702,2.417217923,0.267177632,0,0,0.604667853,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TFF3,1,6.422831552,1.040053872,0,0,0.864853942,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FCGBP,0.960219876,3.141514393,1.559474973,0,0,0.832848625,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MUC2,0.927166209,2.792195447,1.558127704,0,0,0.817059241,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SPINK4,0.786127586,2.991353916,2.395481932,0,0,0.812644765,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ST6GALNAC1,0.851294662,1.442999046,1.595789731,0,0,0.788911799,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SERPINA1,0.749529871,1.66390766,1.637701631,0,0,0.745964216,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,KLK1,0.797844641,1.26376404,1.274182681,0,0,0.742596473,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,KIAA1324,0.666353248,0.695516974,1.766511868,0,0,0.738136611,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,CREB3L1,0.764718646,0.964193318,1.330073842,0,0,0.734374929,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MUC5B,0.715391292,1.250051584,1.573807322,0,0,0.733515871,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,LRRC26,0.606249096,0.622857975,1.818896379,0,0,0.729365766,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,XBP1,0.893678577,1.564559954,0.901139919,0,0,0.721958011,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RETNLB,0.52401273,0.881031182,2.58331093,0,0,0.72180004,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,GMDS,0.894329524,1.447083682,0.885602231,0,0,0.718976681,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,REP15,0.558295964,0.631832255,1.704243627,0,0,0.717872519,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,REG4,0.67814263,2.134743844,1.508144685,0,0,0.716372665,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,WFDC2,0.680963402,1.522022687,1.5530657,0,0,0.71538961,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,STARD10,0.943512223,1.888739298,0.731770117,0,0,0.715165176,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,CKAP4,0.750108491,0.809887199,1.177592696,0,0,0.712845551,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SPDEF,0.579053956,0.552676536,1.672906816,0,0,0.710527159,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,AGR2,0.983726313,4.185500398,0.569454394,0,0,0.708514008,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MLPH,0.653406625,0.58015881,1.223636639,0,0,0.704646065,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SLC12A2,0.908144076,1.954160841,0.823971578,0,0,0.704017269,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ITLN1,0.521842905,1.085463355,1.867834501,0,0,0.702303881,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ATOH1,0.47888037,0.458888124,2.126308707,0,0,0.698648126,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,HPCAL1,0.67640677,0.61347609,1.191842654,0,0,0.697336223,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,C12orf57,0.907710111,1.52978331,0.722868863,0,0,0.695807927,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,NPDC1,0.815275568,1.155296587,0.851986214,0,0,0.691022318,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RAP1GAP,0.48466657,0.388092984,2.065361641,0,0,0.690875717,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FOXP1,0.83285115,1.042028284,0.80682294,0,0,0.688991499,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ERGIC1,0.764357009,0.779336249,0.886585143,0,0,0.683834016,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ERN2,0.655431795,0.533503548,1.007604344,0,0,0.683226667,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ARFGEF3,0.598727036,0.491014531,1.315603664,0,0,0.682446412,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,CMIP,0.661868943,0.654901663,1.150320843,0,0,0.680601888,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,CDC42EP5,0.929553016,1.832275007,0.621376067,0,0,0.68028325,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,GNE,0.546289599,0.44204432,1.409570109,0,0,0.678438901,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,WNK2,0.572038189,0.4590077,1.284112825,0,0,0.674048569,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,CANT1,0.784102416,0.832711189,0.770883212,0,0,0.673616383,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MUC4,0.652611023,0.816815623,0.977860234,0,0,0.673591957,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TSPAN13,0.828945465,1.157873573,0.732467342,0,0,0.673302066,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RP11-234B24.2,0.450455663,0.32625225,1.968402693,0,0,0.672657848,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,HES6,0.64429336,0.731824194,1.147698205,0,0,0.672579726,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ABLIM1,0.718573702,0.686241716,0.87077441,0,0,0.672130568,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ANG,0.6599161,0.604658443,0.934694842,0,0,0.670439728,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SPINK1,0.84384493,2.221119065,0.746449085,0,0,0.67005435,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ASPH,0.786199913,0.992246229,0.789625806,0,0,0.66972974,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,CLCA1,0.438015333,1.198291646,1.98687384,0,0,0.669300654,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SCNN1A,0.732894547,0.80693621,0.776057724,0,0,0.669107744,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,HEPACAM2,0.48379864,0.537370378,1.27752322,0,0,0.668551198,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SLC39A8,0.596484884,0.518897611,1.098208125,0,0,0.667483342,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,IL13RA1,0.704831477,0.67827387,0.879946587,0,0,0.667424941,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,PDXDC1,0.790250253,0.841650211,0.713663155,0,0,0.66696771,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,LMAN1,0.706422682,0.710097057,0.874170473,0,0,0.666729277,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,EFCAB4A,0.69000434,0.597606934,0.817865894,0,0,0.666552054,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TM9SF3,0.908505714,1.514501771,0.565159032,0,0,0.662398408,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MBOAT2,0.554462607,0.424696317,1.144142505,0,0,0.661901821,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,HDLBP,0.852307247,1.142426243,0.613803527,0,0,0.661420014,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FOXA3,0.594532041,0.478189884,0.936730991,0,0,0.660429001,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,IMPA2,0.68971503,0.621891909,0.789376085,0,0,0.658837017,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RANBP2,0.646535513,0.568709073,0.939843051,0,0,0.65855457,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,LENG8,0.714740344,0.656203753,0.750218805,0,0,0.65772084,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,GLUL,0.796325763,0.94216227,0.638424553,0,0,0.657679618,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RASD1,0.404383046,0.365075265,1.93228996,0,0,0.657223475,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TPM1,0.944018516,2.140836132,0.481831437,0,0,0.656719869,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FRYL,0.766816143,0.831563216,0.688288202,0,0,0.656715288,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,DYRK4,0.487993635,0.348869453,1.486436736,0,0,0.656491135,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ATP2A3,0.566251989,0.439438476,0.836400733,0,0,0.656425526,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TCEA3,0.753941849,0.822407704,0.676811878,0,0,0.656253208,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FABP2,0.625994503,0.723227234,0.76940962,0,0,0.655798824,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MAZ,0.775495443,0.823830493,0.68775671,0,0,0.655518398,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RAB15,0.459207291,0.308989399,1.564561294,0,0,0.65528692,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FOXA2,0.539056849,0.465731097,1.232018342,0,0,0.655006456,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SYNGR2,0.871691017,1.265057096,0.579515567,0,0,0.654201407,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,HIST1H4C,0.787429481,1.336935864,0.740588984,0,0,0.654184986,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,GALNT12,0.622016491,0.497760902,0.813847082,0,0,0.65405139,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ATP2C2,0.602343411,0.450069578,0.892231798,0,0,0.653829302,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,PLPP5,0.646101548,0.512501506,0.815306205,0,0,0.653704511,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,RP3-412A9.11,0.47656589,0.50167328,1.474907293,0,0,0.653626302,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,GALNT3,0.715608274,0.731949144,0.745168625,0,0,0.653150807,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,C9orf152,0.67524953,0.570872061,0.736930615,0,0,0.652845222,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,HMGN3,0.765731231,0.847441169,0.652567757,0,0,0.652647856,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ACTN1,0.675611167,0.612241692,0.801320611,0,0,0.652623958,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,PPP1R1B,0.857876465,1.227104851,0.588661978,0,0,0.652524737,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,NECTIN1,0.473889773,0.304270778,1.420108573,0,0,0.652461906,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,EMP2,0.796904383,0.942713694,0.651951749,0,0,0.652171415,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,PCCA,0.545132359,0.747275863,1.302401513,0,0,0.651054156,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,NUCB2,0.595978591,0.530446817,0.917637049,0,0,0.650387856,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,DNAJC10,0.618761753,0.535754141,0.892804115,0,0,0.650220924,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ZKSCAN1,0.790033271,0.936880948,0.652917498,0,0,0.65008996,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ANXA13,0.446116013,0.360115765,1.3108319,0,0,0.649954141,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TPSG1,0.390496167,0.337387609,1.496911084,0,0,0.649738845,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,GSE1,0.582525676,0.449602022,0.950046446,0,0,0.649721774,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SMIM14,0.802401273,0.938529785,0.544982507,0,0,0.649690172,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,NR4A1,0.665196008,0.930649869,0.868479811,0,0,0.649558241,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FAM174B,0.398452192,0.238716863,1.687675808,0,0,0.649258126,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,SLC9A3R2,0.552365109,0.419944291,0.997147754,0,0,0.649209448,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,TP53,0.585997396,0.446571181,0.898145246,0,0,0.648980503,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,ARHGAP32,0.653985245,0.536057506,0.780712457,0,0,0.648956525,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,MUC1,0.786416896,1.35972631,0.658964969,0,0,0.648948559,0,0
cE02 (Stem/TA-like/Immature Goblet),Top_Epi,FKBP11,0.566107334,0.487881171,1.007021716,0,0,0.648482113,0,0
cE03 (Stem/TA-like prolif),Top_Epi,TUBA1B,0.966042045,3.209255327,1.391562212,0,0,0.878897251,0,0
cE03 (Stem/TA-like prolif),Top_Epi,H2AFZ,0.948025917,2.862533188,1.43803499,0,0,0.87092982,0,0
cE03 (Stem/TA-like prolif),Top_Epi,HMGB1,0.975434671,3.655171188,0.92467813,0,0,0.856538098,0,0
cE03 (Stem/TA-like prolif),Top_Epi,STMN1,0.829720785,1.614409294,2.163517784,0,0,0.825571281,0,0
cE03 (Stem/TA-like prolif),Top_Epi,PTMA,0.997762551,5.525178023,0.389322834,0,0,0.820426768,0,0
cE03 (Stem/TA-like prolif),Top_Epi,HMGB2,0.816016408,1.674834391,2.201961065,0,0,0.818469818,0,0
cE03 (Stem/TA-like prolif),Top_Epi,TUBB,0.890201837,2.078109748,1.457305301,0,0,0.813355176,0,0
cE03 (Stem/TA-like prolif),Top_Epi,RANBP1,0.872209015,1.893776549,1.44377941,0,0,0.805471267,0,0
cE03 (Stem/TA-like prolif),Top_Epi,HMGN2,0.923483895,2.434674023,1.124188278,0,0,0.800257531,0,0
cE03 (Stem/TA-like prolif),Top_Epi,PTTG1,0.692793549,1.227796075,3.057432838,0,0,0.798313708,0,0
cE03 (Stem/TA-like prolif),Top_Epi,CENPW,0.691698131,0.942668146,2.867266439,0,0,0.795727783,0,0
cE03 (Stem/TA-like prolif),Top_Epi,RAN,0.91271617,2.444268859,1.017258028,0,0,0.792936732,0,0
cE03 (Stem/TA-like prolif),Top_Epi,PCLAF,0.666992961,0.957861923,2.846114549,0,0,0.783489706,0,0
cE03 (Stem/TA-like prolif),Top_Epi,HSPE1,0.951218944,3.130567,0.799017703,0,0,0.783440047,0,0
cE03 (Stem/TA-like prolif),Top_Epi,HSPD1,0.908520953,2.568853384,1.039152392,0,0,0.779933526,0,0
cE03 (Stem/TA-like prolif),Top_Epi,CKS2,0.769076586,1.331957113,1.831694542,0,0,0.771741893,0,0
cE03 (Stem/TA-like prolif),Top_Epi,UBE2S,0.723395329,1.206100799,2.103989064,0,0,0.770788673,0,0
cE03 (Stem/TA-like prolif),Top_Epi,SNRPF,0.884491679,2.054050579,1.025368648,0,0,0.769785245,0,0
cE03 (Stem/TA-like prolif),Top_Epi,MKI67,0.601058127,0.770128088,3.322927139,0,0,0.767003899,0,0
cE03 (Stem/TA-like prolif),Top_Epi,NUCKS1,0.849415,1.715006569,1.202468375,0,0,0.766971708,0,0
cE03 (Stem/TA-like prolif),Top_Epi,SNRPG,0.906446651,2.230424842,0.882244231,0,0,0.766590417,0,0
cE03 (Stem/TA-like prolif),Top_Epi,LDHB,0.843495082,2.084326063,1.288228197,0,0,0.76650151,0,0
