Supplementary Table 7. Gene signatures used in this study,,,,,,,,,
THBS2,THBS2,ZNF185,,TSPAN5,TPX2,AHNAK2,,ACSM3,ITGA3
COL1A2,COL1A2,GJB3,,MYRIP,DLGAP5,KRT19,,PPIC,RIOK3
CYFIP1,CYFIP1,PAEP,,CDK6,BORA,PKP1,,ANXA3,LAMC2
TIMP2,TIMP2,RIMBP2,,ITGA9,NEK2,YBX3,,EDA2R,CYP3A5
PLAT,PLAT,WFDC3,,H19,CDKN3,GJB5,,S100A6,FA2H
C1S,C1S,GAS6,,PPP2R2C,ASPM,,,EFEMP1,RRAS
VAMP2,VAMP2,HTR2C,,IGFL2,PSRC1,,,DDIT4L,MUC13
CCDC80,CCDC80,MROH6,,CHI3L1,KIF23,,,PDZK1IP1,CEACAM1
TWF2,TWF2,CAPN12,,FRY,PCSK6,,,LY6D,TMPRSS2
FAM129B,FAM129B,FBXL14,,CXCR4,OSCP1,,,LAPTM5,SERINC2
ISLR,ISLR,MAGI2,,SLC28A3,SLC28A3,,,PLEKHS1,SLC44A4
CDH10,CDH10,ANXA3,,SACS,NRARP,,,HS6ST2,PCDH1
ING4,ING4,PPL,,HAS2,CENPA,,,SLC4A11,USP53
GPNMB,GPNMB,BAIAP2,,SP8,ALPP,,,CRYAB,C1orf106
TSG101,TSG101,LINGO1,,NKD1,ALPP,,,SH3KBP1,FLNB
AXL,AXL,KLK7,,AXIN2,ALPP,,,SAMD5,CXCL16
COL8A1,COL8A1,EPHA2,,LOC100505730,SHCBP1,,,PHLDA3,EZR
TNS1,TNS1,KRT17,,AXIN2,ARHGEF39,,,KRT7,TNFRSF21
LINC00472,LINC00472,SCGN,,CDCA7,ANLN,,,IL1RN,CDA
ABHD4,ABHD4,KLK5,,LOC100134361,HMMR,,,CCND1,ADAM9
MXRA5,MXRA5,LAMA3,,CDCA7,PARPBP,,,PLAUR,RNF103
COL6A1,COL6A1,EPS8L1,,CDK6,TLR1,,,SYT8,KRT80
GREM1,GREM1,FXYD4,,ETS2,CDC25C,,,TMEM40,EFNB1
CERS5,CERS5,SNX24,,SOX4,CCNF,,,PTP4A3,SMAD3
PRRX2,PRRX2,SLC22A18,,VSNL1,AURKA,,,GPX2,PDZK1IP1
NRG3,NRG3,KLK8,,CADM1,PRC1,,,PSAPL1,LRP10
EFEMP1,EFEMP1,KCNN4,,PTCH1,CENPF,,,S100A11,PRSS22
NXN,NXN,RASAL1,,SLC7A8,GSDMC,,,PSCA,AHNAK2
CTHRC1,CTHRC1,LEMD1,,ZNF704,SPC25,,,SOX21,B4GALT1
FBN1,FBN1,KCNK3,,FAM46C,KIF2C,,,FABP5,ANXA11
CAV1,CAV1,RNF39,,FAM43A,KIF14,,,COL18A1,BAIAP2L1
C1R,C1R,HIST2H2BE,,PROX1,EFCAB11,,,CD14,F11R
COL5A2,COL5A2,LMO7,,NRXN3,PRR11,,,PMM1,DUSP5
MMP2,MMP2,C1orf116,,FGF18,KIF22,,,PLK2,DDR1
CRISPLD2,CRISPLD2,PSORS1C1,,LYZ,GSDMC,,,CLIC3,ITGB1
COL12A1,COL12A1,GPRC5A,,BAMBI,PLK1,,,NCMAP,SLC2A1
CYGB,CYGB,SEZ6L2,,CADM1,,,,EREG,CDKN2B
TAGLN,TAGLN,C19orf33,,AMACR,,,,ICAM1,PLAUR
MGP,MGP,GDPD3,,LRIG1,,,,CCNG1,ITGA2
TCF4,TCF4,KLK10,,NAV2,,,,RBMS1,CDCP1
RORB,RORB,SLC20A1,,TSPAN5,,,,MGAT4C,CD59
FSTL1,FSTL1,KLK11,,KREMEN1,,,,RDH10,DSG2
LOXL4,LOXL4,KLK6,,ETS2,,,,ENAH,KLK10
DKK3,DKK3,SCEL,,HAS2,,,,VNN1,ARFGAP3
SPON2,SPON2,KCNJ16,,KCNJ2,,,,EPHA4,CD68
COL6A3,COL6A3,KRT80,,PROX1,,,,PDLIM4,CGN
PDGFC,PDGFC,CAMK2N1,,SLC16A10,,,,TNNI2,TM4SF1
BASP1,BASP1,KRT6A,,TSPAN5,,,,IER3,PPP2CB
BGN,BGN,DISP2,,PRSS23,,,,GLIPR1,HEBP2
TMEM51,TMEM51,SLC2A1,,C21orf63,,,,IL17RE,UGCG
PMP22,PMP22,SCNN1A,,RGMB,,,,PRSS22,GBP3
SEMA3D,SEMA3D,TM4SF4,,PROX1,,,,TSPAN6,TIMP2
LGALS1,LGALS1,MSLN,,RTKN2,,,,TNS4,PINK1
NNMT,NNMT,COL17A1,,FREM2,,,,S100A14,CYSTM1
FN1,FN1,FAM155A,,KCNJ2,,,,LAMC2,SLC6A8
IL1R1,IL1R1,KRT6B,,OXGR1,,,,ECM1,PPARD
PDGFRA,PDGFRA,PLA2G10,,ABCC4,,,,SCEL,LIPH
CCNDBP1,CCNDBP1,MYBPC1,,SLC7A8,,,,OSBPL5,CLIC3
LRAT,LRAT,SFTA2,,MME,,,,TLR4,SPINT1
CES5A,CES5A,SLPI,,VSNL1,,,,TIMP2,PTK6
MMP19,MMP19,VSIG2,,KCNJ8,,,,TREX2,TJP3
SFRP2,SFRP2,RHBDL2,,RGMB,,,,GATM,STK24
CYR61,CYR61,SERPINB5,,RGMB,,,,ZIC4,AC009133.12
SERPINF1,SERPINF1,S100A2,,ZNF704,,,,ARL4C,CEACAM5
ARHGEF2,ARHGEF2,MMP7,,ASB4,,,,WWTR1,MXD1
INHBA,INHBA,CTSE,,,,,,AQP5,SNX9
FIBIN,FIBIN,NXF3,,,,,,CAPN2,ERO1L
GAS7,GAS7,GSTA2,,,,,,CCP110,SSFA2
STARD6,STARD6,GSTA1,,,,,,EMP2,TSPAN3
PHC1,PHC1,CLSTN2,,,,,,ABCC4,SLPI
STAC,STAC,HOXB8,,,,,,HYAL1,BMP2
GAS1,GAS1,GABRP,,,,,,IFT57,GJB3
SDC2,SDC2,TACSTD2,,,,,,SLC25A48,LAMA3
COL15A1,COL15A1,DUSP27,,,,,,PSRC1,TMPRSS4
LOXL2,LOXL2,,,,,,,SLC44A2,B4GALNT3
ARL8A,ARL8A,,,,,,,HSPA1A,
THY1,THY1,,,,,,,PPL,
NOTCH4,NOTCH4,,,,,,,MGMT,
ALDH3B1,ALDH3B1,,,,,,,CXCL16,
TNC,TNC,,,,,,,P2RY6,
ASPN,ASPN,,,,,,,DDAH1,
GJA1,GJA1,,,,,,,PMEPA1,
ARMCX6,ARMCX6,,,,,,,GCNT1,
SPAG7,SPAG7,,,,,,,CGNL1,
VIM,VIM,,,,,,,EMP1,
SLC24A3,SLC24A3,,,,,,,BOK,
TRIM55,TRIM55,,,,,,,ILDR1,
PLAU,PLAU,,,,,,,ARHGEF3,
WBP2,WBP2,,,,,,,MSN,
TNFAIP6,TNFAIP6,,,,,,,DCXR,
UNC5B,UNC5B,,,,,,,SPATA6,
RAB31,RAB31,,,,,,,ARHGAP44,
COL4A2,COL4A2,,,,,,,RGS19,
EFEMP2,EFEMP2,,,,,,,NOXO1,
MRC2,MRC2,,,,,,,VANGL1,
CYBRD1,CYBRD1,,,,,,,S100A4,
GNPTG,GNPTG,,,,,,,TSPAN4,
DNASE1L1,DNASE1L1,,,,,,,GPR137B,
ITGBL1,ITGBL1,,,,,,,CCND2,
CTGF,CTGF,,,,,,,TTC9,
PALLD,PALLD,,,,,,,PDRG1,
INPP5K,INPP5K,,,,,,,VAMP5,
PDGFB,PDGFB,,,,,,,FAR1,
IGFBP3,IGFBP3,,,,,,,SERPINB5,
ANGPTL2,ANGPTL2,,,,,,,CTSH,
FBLN1,FBLN1,,,,,,,AKR1B10,
PDPN,PDPN,,,,,,,RAB15,
ITGAV,ITGAV,,,,,,,ZMAT3,
PRKAG1,PRKAG1,,,,,,,AHNAK,
AEBP1,AEBP1,,,,,,,KRT18,
SPARCL1,SPARCL1,,,,,,,DAPK1,
WDFY3-AS2,WDFY3-AS2,,,,,,,FLOT2,
FNDC1,FNDC1,,,,,,,AVPI1,
PXDN,PXDN,,,,,,,RAB11FIP5,
MCAM,MCAM,,,,,,,PAQR8,
POLD4,POLD4,,,,,,,SERPINB11,
SERPING1,SERPING1,,,,,,,PRKAR1A,
COL4A1,COL4A1,,,,,,,LAMA3,
NFAM1,NFAM1,,,,,,,TINAGL1,
TMEM119,TMEM119,,,,,,,MCAM,
PRRX1,PRRX1,,,,,,,NFE2L3,
CLMP,CLMP,,,,,,,SH3BGRL2,
BAALC,BAALC,,,,,,,LMNA,
TMEM63B,TMEM63B,,,,,,,SCMH1,
MFAP4,MFAP4,,,,,,,PDLIM7,
ACTA2,ACTA2,,,,,,,FOXQ1,
NOTCH3,NOTCH3,,,,,,,GCNT3,
TWIST1,TWIST1,,,,,,,TMEM43,
LHFP,LHFP,,,,,,,MDM2,
RELB,RELB,,,,,,,GTSE1,
SUSD5,SUSD5,,,,,,,GPC1,
COL14A1,COL14A1,,,,,,,CAMSAP2,
LRRN4CL,LRRN4CL,,,,,,,HSPB1,
NGRN,COL5A3,,,,,,,EPS8L1,
COL5A3,PLD2,,,,,,,CKAP2,
PLD2,SERTAD2,,,,,,,GOLGA8S,
SERTAD2,TIMP1,,,,,,,PLAT,
TIMP1,PTPRS,,,,,,,WWC2,
PTPRS,ALDH1A3,,,,,,,INF2,
ALDH1A3,TFPI,,,,,,,MRAS,
TFPI,STOM,,,,,,,CHRNB1,
STOM,EDNRA,,,,,,,ANXA5,
EDNRA,CCL2,,,,,,,AK1,
CCL2,S100A11,,,,,,,VAX1,
S100A11,A2M,,,,,,,TEAD4,
A2M,COL6A2,,,,,,,DYRK3,
COL6A2,IFI27L2,,,,,,,ITGB4,
IFI27L2,PLXDC1,,,,,,,BAX,
PLXDC1,OLFML2A,,,,,,,ARL1,
OLFML2A,COL18A1,,,,,,,RHOD,
COL18A1,FERMT2,,,,,,,MSANTD3,
FERMT2,SPHK1,,,,,,,KLRG2,
SPHK1,DCBLD1,,,,,,,CLCF1,
FBXL13,MYO9B,,,,,,,ID2,
DCBLD1,TUBB6,,,,,,,SGCB,
MYO9B,ZFP92,,,,,,,AEN,
TUBB6,SLC27A1,,,,,,,ABCC5,
ZFP92,ADAMTS1,,,,,,,FLNC,
SLC27A1,FEZ2,,,,,,,PIR,
ADAMTS1,HTRA1,,,,,,,FMNL2,
FEZ2,PTGDS,,,,,,,CD44,
HTRA1,S1PR3,,,,,,,SLC39A10,
PTGDS,PPP1R11,,,,,,,ENDOD1,
ITGA3,OLFML3,,,,,,,MBOAT1,
S1PR3,MXRA8,,,,,,,KIFC3,
PPP1R11,EFHD2,,,,,,,CCDC92,
OLFML3,SLIT2,,,,,,,SUSD4,
MXRA8,MAFB,,,,,,,CNN2,
EFHD2,PCOLCE,,,,,,,GNAI1,
SLIT2,LRCH4,,,,,,,RAB27B,
MAFB,LAMC1,,,,,,,TSPAN2,
PCOLCE,FZD8,,,,,,,USP46,
LRCH4,TIMP3,,,,,,,P2RY2,
LAMC1,IL4R,,,,,,,CD55,
FZD8,EDIL3,,,,,,,KRT23,
TIMP3,PDLIM7,,,,,,,GSN,
IL4R,PTPN14,,,,,,,S100A16,
EDIL3,MYH10,,,,,,,TBC1D2,
PDLIM7,RNF167,,,,,,,SORL1,
PTPN14,ITGB5,,,,,,,FKBP9,
MYH10,DRAM1,,,,,,,AAAS,
RNF167,FILIP1L,,,,,,,EPN3,
ITGB5,SLITRK3,,,,,,,FRMD6,
DRAM1,KCNQ5,,,,,,,ALCAM,
FILIP1L,SULF1,,,,,,,ABI3,
SLITRK3,EPAS1,,,,,,,B9D1,
KCNQ5,LAMA2,,,,,,,ZBTB32,
SULF1,FAP,,,,,,,GJB3,
EPAS1,FHL3,,,,,,,PLCD3,
LAMA2,GEM,,,,,,,BTG2,
FAP,GPX8,,,,,,,SLC19A2,
FHL3,LMBRD1,,,,,,,SLCO4A1,
GEM,EVA1B,,,,,,,BAIAP2,
GPX8,CHST15,,,,,,,BIVM-ERCC5,
LMBRD1,NID1,,,,,,,ABHD4,
EVA1B,GIPC1,,,,,,,KCNN4,
CHST15,WISP1-OT1 ||| WISP1,,,,,,,DHH,
NID1,C10orf10,,,,,,,AP1S3,
GIPC1,IL6ST,,,,,,,WNT4,
WISP1-OT1 ||| WISP1,TJP1,,,,,,,GLIS3,
C10orf10,GPSM3,,,,,,,TNFAIP8,
IL6ST,COL11A1,,,,,,,MLKL,
TJP1,LAMB2,,,,,,,PHLDA2,
GPSM3,TMEM204,,,,,,,FOSL1,
COL11A1,SALL2,,,,,,,DUSP22,
LAMB2,LOX,,,,,,,HSPA2,
TMEM204,FSCN1,,,,,,,WTIP,
SALL2,PDLIM3,,,,,,,KLHL13,
LOX,PPARD,,,,,,,CAMKK1,
FSCN1,MMP11,,,,,,,CAPN5,
PDLIM3,GPX3,,,,,,,ICA1,
PPARD,GPR124,,,,,,,TNFRSF10B,
MMP11,LATS2,,,,,,,GADD45B,
GPX3,NTM,,,,,,,EXOC4,
GPR124,HEYL,,,,,,,RGS17,
LATS2,ZCCHC24,,,,,,,STX11,
NTM,GLIPR2,,,,,,,RPS19,
HEYL,HSPG2,,,,,,,GUSB,
ZCCHC24,OBSL1,,,,,,,SERPINH1,
GLIPR2,FZD1,,,,,,,CPT1C,
SLC25A25,PTRF,,,,,,,BTBD11,
HSPG2,LOXL1,,,,,,,FAM149A,
OBSL1,AP1B1,,,,,,,,
FZD1,JAM3,,,,,,,,
PTRF,KLF9,,,,,,,,
LOXL1,COL10A1,,,,,,,,
AP1B1,LAMA4,,,,,,,,
JAM3,MSN,,,,,,,,
KLF9,COX7A1,,,,,,,,
COL10A1,MFAP5,,,,,,,,
LAMA4,COLEC12,,,,,,,,
MSN,DIO2,,,,,,,,
COX7A1,MEX3B,,,,,,,,
MFAP5,HOXB4,,,,,,,,
COLEC12,SOX13,,,,,,,,
DIO2,CCDC28A,,,,,,,,
MEX3B,RAB34,,,,,,,,
HOXB4,GLIS2,,,,,,,,
SOX13,AKT3,,,,,,,,
CCDC28A,CILP,,,,,,,,
RAB34,ITIH5,,,,,,,,
GLIS2,CDH11,,,,,,,,
AKT3,FGFR1,,,,,,,,
CILP,CCDC107,,,,,,,,
ITIH5,DYSF,,,,,,,,
CDH11,NRP2,,,,,,,,
FGFR1,SFRP4,,,,,,,,
SEMA4B,OSMR,,,,,,,,
CCDC107,UNC5D,,,,,,,,
DYSF,ABTB1,,,,,,,,
NRP2,OLFML2B,,,,,,,,
SFRP4,GSN,,,,,,,,
OSMR,ATP6V0C,,,,,,,,
UNC5D,FAM198B,,,,,,,,
ABTB1,DPYSL3,,,,,,,,
OLFML2B,SNED1,,,,,,,,
GSN,ELN,,,,,,,,
ATP6V0C,RGS5,,,,,,,,
FAM198B,THBS1,,,,,,,,
DPYSL3,NDN,,,,,,,,
SNED1,ADAP2,,,,,,,,
ELN,RARRES2,,,,,,,,
RGS5,ROGDI,,,,,,,,
THBS1,CBX6,,,,,,,,
NDN,RUNX1T1,,,,,,,,
ADAP2,SSPN,,,,,,,,
RARRES2,CD34,,,,,,,,
ROGDI,NLGN4Y,,,,,,,,
CBX6,DLC1,,,,,,,,
RUNX1T1,RBMS1,,,,,,,,
SSPN,FHL1,,,,,,,,
CD34,RFTN1,,,,,,,,
NLGN4Y,SPOCK1,,,,,,,,
DLC1,CLCF1,,,,,,,,
RBMS1,SH2B1,,,,,,,,
FHL1,PFDN1,,,,,,,,
RFTN1,IKBKG,,,,,,,,
SPOCK1,DACT1,,,,,,,,
CLCF1,COPZ2,,,,,,,,
SH2B1,PDLIM4,,,,,,,,
PFDN1,MSRA,,,,,,,,
IKBKG,FLNA,,,,,,,,
DACT1,TMEM45A,,,,,,,,
COPZ2,PPP1R14A,,,,,,,,
PDLIM4,CCDC160,,,,,,,,
MSRA,BTBD19,,,,,,,,
FLNA,SNAI2,,,,,,,,
TMEM45A,UBE2E2,,,,,,,,
PPP1R14A,NRP1,,,,,,,,
CCDC160,LBH,,,,,,,,
BTBD19,PHLDB2,,,,,,,,
SNAI2,GUCY1B3,,,,,,,,
UBE2E2,APLP1,,,,,,,,
NRP1,SLC43A3,,,,,,,,
LBH,RNF111,,,,,,,,
PHLDB2,A4GALT,,,,,,,,
GUCY1B3,ZNF132,,,,,,,,
APLP1,VIPAS39,,,,,,,,
SLC43A3,SESN2,,,,,,,,
RNF111,BNC2,,,,,,,,
A4GALT,PHLDA1,,,,,,,,
ZNF132,PPAP2A,,,,,,,,
VIPAS39,ZEB1,,,,,,,,
SESN2,FAM20C,,,,,,,,
BNC2,RGS16,,,,,,,,
PHLDA1,ARMCX1,,,,,,,,
PPAP2A,CTSL,,,,,,,,
ZEB1,KCNE2,,,,,,,,
FAM20C,GNB4,,,,,,,,
RGS16,EFS,,,,,,,,
ARMCX1,UBTD1,,,,,,,,
CTSL,SHISA2,,,,,,,,
KCNE2,C15orf52,,,,,,,,
GNB4,SETBP1,,,,,,,,
EFS,FAM101B,,,,,,,,
UBTD1,CSPG4,,,,,,,,
SHISA2,CACNB3,,,,,,,,
C15orf52,LEF1,,,,,,,,
SETBP1,SVEP1,,,,,,,,
FAM101B,MED11,,,,,,,,
CSPG4,ZMAT3,,,,,,,,
CACNB3,CHSY1,,,,,,,,
LEF1,LAMB1,,,,,,,,
SVEP1,MOAP1,,,,,,,,
MED11,IFFO1,,,,,,,,
ZMAT3,MSRB3,,,,,,,,
CHSY1,FBLN5,,,,,,,,
LAMB1,BTBD10,,,,,,,,
MOAP1,TMBIM1,,,,,,,,
IFFO1,TPM2,,,,,,,,
MSRB3,CTSO,,,,,,,,
FBLN5,GGT5,,,,,,,,
BTBD10,CERCAM,,,,,,,,
TMBIM1,TSPAN4,,,,,,,,
TPM2,KANK2,,,,,,,,
CTSO,PTPLAD2,,,,,,,,
GGT5,MFAP2,,,,,,,,
CERCAM,GLT8D2,,,,,,,,
TSPAN4,CCL13,,,,,,,,
KANK2,TNFAIP2,,,,,,,,
PTPLAD2,ABCA1,,,,,,,,
MFAP2,ANXA5,,,,,,,,
GLT8D2,CTNNBIP1,,,,,,,,
CCL13,GPR176,,,,,,,,
TNFAIP2,CLIC4,,,,,,,,
ABCA1,GLIPR1,,,,,,,,
ANXA5,PER1,,,,,,,,
CTNNBIP1,ECM1,,,,,,,,
GPR176,BEST1,,,,,,,,
CLIC4,ADAM28,,,,,,,,
GLIPR1,GJC1,,,,,,,,
PER1,MRVI1,,,,,,,,
ECM1,NOP10,,,,,,,,
BEST1,CHST3,,,,,,,,
ADAM28,ELK3,,,,,,,,
GJC1,DSE,,,,,,,,
MRVI1,KIAA0430,,,,,,,,
NOP10,YIPF3,,,,,,,,
CHST3,LMO2,,,,,,,,
ELK3,SLC8A1,,,,,,,,
MAPK3,PLXDC2,,,,,,,,
DSE,SCN1B,,,,,,,,
KIAA0430,SPRED3,,,,,,,,
YIPF3,LRRC32,,,,,,,,
LMO2,MYLK,,,,,,,,
SLC8A1,SH3PXD2B,,,,,,,,
PLXDC2,IGF1,,,,,,,,
SCN1B,MEIS1,,,,,,,,
SPRED3,VCAM1,,,,,,,,
LRRC32,TUBA1A,,,,,,,,
MYLK,RGS2,,,,,,,,
SH3PXD2B,NOG,,,,,,,,
IGF1,IGSF11,,,,,,,,
MEIS1,CD248,,,,,,,,
VCAM1,PIAS1,,,,,,,,
TUBA1A,KIRREL,,,,,,,,
RGS2,TRO,,,,,,,,
NOG,CTSC,,,,,,,,
IGSF11,ADAMTSL4,,,,,,,,
CD248,ABCA8,,,,,,,,
PIAS1,CALU,,,,,,,,
KIRREL,COMP,,,,,,,,
TRO,BCL6B,,,,,,,,
CTSC,FAM3C,,,,,,,,
ADAMTSL4,CYB5R1,,,,,,,,
ABCA8,EGR3,,,,,,,,
CALU,GPX7,,,,,,,,
COMP,TCN2,,,,,,,,
BCL6B,PDGFRB,,,,,,,,
FAM3C,ATP6AP1,,,,,,,,
CYB5R1,ADAM12,,,,,,,,
EGR3,MAN1C1,,,,,,,,
GPX7,AKAP12,,,,,,,,
TCN2,BTG1,,,,,,,,
PDGFRB,GUCY1A3,,,,,,,,
ATP6AP1,JOSD1,,,,,,,,
ADAM12,VAMP8,,,,,,,,
MAN1C1,C16orf86,,,,,,,,
AKAP12,AATK,,,,,,,,
BTG1,TSC22D3,,,,,,,,
GUCY1A3,IFI16,,,,,,,,
JOSD1,MYD88,,,,,,,,
VAMP8,BCAM,,,,,,,,
C16orf86,SOBP,,,,,,,,
AATK,DSEL,,,,,,,,
TSC22D3,B3GALT4,,,,,,,,
IFI16,FBLN2,,,,,,,,
MYD88,MITF,,,,,,,,
BCAM,BCAT1,,,,,,,,
SOBP,SGCE,,,,,,,,
DSEL,DNM1,,,,,,,,
B3GALT4,TAGLN3,,,,,,,,
FBLN2,MIR143HG,,,,,,,,
MITF,C4orf3,,,,,,,,
BCAT1,NES,,,,,,,,
SGCE,PTAFR,,,,,,,,
DNM1,MAP6,,,,,,,,
TAGLN3,PPAP2B,,,,,,,,
MIR143HG,LMO4,,,,,,,,
C4orf3,AP2A2,,,,,,,,
NES,EMP1,,,,,,,,
PTAFR,CTNNA3,,,,,,,,
MAP6,FZD4,,,,,,,,
PPAP2B,BICC1,,,,,,,,
LMO4,GNAO1,,,,,,,,
AP2A2,OLFML1,,,,,,,,
EMP1,SPSB3,,,,,,,,
CTNNA3,SRPX,,,,,,,,
FZD4,DEDD2,,,,,,,,
BICC1,ATP8A2,,,,,,,,
GNAO1,RGL2,,,,,,,,
OLFML1,EMP3,,,,,,,,
SPSB3,DNAJC4,,,,,,,,
SRPX,CD68,,,,,,,,
DEDD2,MYOF,,,,,,,,
ATP8A2,ZNF410,,,,,,,,
RGL2,TRIM17,,,,,,,,
EMP3,RAB5B,,,,,,,,
DNAJC4,ACTG2,,,,,,,,
CD68,TBC1D25,,,,,,,,
MYOF,LDB2,,,,,,,,
ZNF410,ST3GAL1,,,,,,,,
TRIM17,HIC1,,,,,,,,
RAB5B,C16orf62,,,,,,,,
ACTG2,LHPP,,,,,,,,
TBC1D25,PDGFD,,,,,,,,
LDB2,RAI14,,,,,,,,
ST3GAL1,ADAM19,,,,,,,,
HIC1,DPYSL2,,,,,,,,
C16orf62,GRIPAP1,,,,,,,,
LHPP,DBN1,,,,,,,,
PDGFD,CERS2,,,,,,,,
RAI14,THBD,,,,,,,,
ADAM19,NFIC,,,,,,,,
DPYSL2,STX1A,,,,,,,,
GRIPAP1,ST5,,,,,,,,
DBN1,COL8A2,,,,,,,,
CERS2,MMP14,,,,,,,,
THBD,RHOJ,,,,,,,,
NFIC,SPG20,,,,,,,,
RIN1,GPR108,,,,,,,,
STX1A,RILP,,,,,,,,
ST5,SIM1,,,,,,,,
COL8A2,HIF1A,,,,,,,,
MMP14,NR2F1,,,,,,,,
RHOJ,ZDHHC7,,,,,,,,
SPG20,TUSC3,,,,,,,,
GPR108,UCHL1,,,,,,,,
RILP,ROR2,,,,,,,,
SIM1,LRRC15,,,,,,,,
HIF1A,ARHGEF17,,,,,,,,
NR2F1,TTC28,,,,,,,,
ZDHHC7,ARL4C,,,,,,,,
TUSC3,APCDD1L,,,,,,,,
UCHL1,PPP1R18,,,,,,,,
ROR2,TGFB1,,,,,,,,
LRRC15,FLRT2,,,,,,,,
ARHGEF17,CRMP1,,,,,,,,
TTC28,ITGA1,,,,,,,,
ARL4C,CAV2,,,,,,,,
APCDD1L,HGSNAT,,,,,,,,
PPP1R18,HEG1,,,,,,,,
TGFB1,TSHZ3,,,,,,,,
FLRT2,PTGIS,,,,,,,,
CRMP1,SH3BP5,,,,,,,,
ITGA1,ZNF428,,,,,,,,
CAV2,PTPRM,,,,,,,,
HGSNAT,LTBP1,,,,,,,,
HEG1,FAM196B,,,,,,,,
TSHZ3,FUT11,,,,,,,,
PTGIS,TMEM242,,,,,,,,
SH3BP5,CRLF1,,,,,,,,
ZNF428,DDR2,,,,,,,,
PTPRM,QKI,,,,,,,,
LTBP1,LSP1,,,,,,,,
FAM196B,ATP2B4,,,,,,,,
FUT11,PLD3,,,,,,,,
TMEM242,RSPH3,,,,,,,,
CRLF1,PCDHGC5 ||| PCDHGA8 ||| PCDHGA11 ||| PCDHGC3,,,,,,,,
DDR2,PRELP,,,,,,,,
QKI,FRMD6,,,,,,,,
LSP1,PAMR1,,,,,,,,
ATP2B4,KCNE4,,,,,,,,
PLD3,SERPINE1,,,,,,,,
RSPH3,RBMS3,,,,,,,,
PCDHGC5 ||| PCDHGA8 ||| PCDHGA11 ||| PCDHGC3,NR2F2,,,,,,,,
PRELP,TRIP4,,,,,,,,
FRMD6,MOXD1,,,,,,,,
PAMR1,NID2,,,,,,,,
KCNE4,GNG11,,,,,,,,
SERPINE1,PPIC,,,,,,,,
PNPLA2,ZSCAN18,,,,,,,,
RBMS3,DAB2,,,,,,,,
NR2F2,MXRA7,,,,,,,,
TRIP4,TCF25,,,,,,,,
