,DE_fc_tumor_over_normal,DE_p_normal_vs_tumor,p_adjusted_qvalue
chr19:36265433-36279724_ARHGAP33_ENSG00000004777.14,0.005419888,0.875996557,0.940531481
chr16:23592322-23607677_NDUFAB1_ENSG00000004779.5,-0.076083553,0.353304871,0.940531481
chr7:95212810-95225803_PDK4_ENSG00000004799.7,-0.113556058,0.003104594,0.074771699
chr7:95749531-95951459_SLC25A13_ENSG00000004864.9,0.084145412,0.100762224,0.597457646
chr7:116592499-116870157_ST7_ENSG00000004866.14,0.086275913,0.094043531,0.580358067
chr17:45195068-45266788_CDC27_ENSG00000004897.7,0.066950476,0.242503866,0.877797159
chrX:11129420-11683821_HCCS_ENSG00000004961.10,0.002214595,0.720322194,0.940531481
chr17:7128659-7137864_DVL2_ENSG00000004975.7,-0.002011031,0.45263378,0.940531481
chr16:2902727-2909727_PRSS22_ENSG00000005001.5,0.009109516,0.76511347,0.940531481
chr19:18942746-18979045_UPF1_ENSG00000005007.8,-0.055988206,0.221602134,0.853836177
chr7:26706680-27034858_SKAP2_ENSG00000005020.8,-0.03563687,0.611118159,0.940531481
chrX:118599996-118605282_SLC25A5_ENSG00000005022.5,-0.638955464,0.008086641,0.141238432
chr4:110481360-110624739_CCDC109B_ENSG00000005059.11,-0.017813614,0.420865784,0.940531481
chr7:102105375-102119354_POLR2J_ENSG00000005075.11,0.023437117,0.392004574,0.940531481
chr17:5185557-5372380_DHX33_ENSG00000005100.8,0.03986309,0.214344089,0.844619063
chr17:33254877-33332083_LIG3_ENSG00000005156.7,0.024706949,0.379706724,0.940531481
chr12:48057069-48099844_RPAP3_ENSG00000005175.5,0.132792207,0.039528139,0.384239544
chr16:20621564-20936328_ACSM3_ENSG00000005187.7,-0.112274509,0.029515036,0.3270673
chr16:20621564-20936328_AC004381.6_ENSG00000005189.15,0.002871959,0.836624129,0.940531481
chr16:57462080-57521239_CIAPIN1_ENSG00000005194.10,0.028358269,0.3589228,0.940531481
chr19:2321515-2355099_SPPL2B_ENSG00000005206.12,-0.08499051,0.189526763,0.80452177
chr7:106685093-106802256_PRKAR2B_ENSG00000005249.8,0.002554608,0.909109448,0.940531481
chrX:11776277-11793870_MSL3_ENSG00000005302.13,-0.058408363,0.329020087,0.940531481
chr16:3775054-3930727_CREBBP_ENSG00000005339.8,-0.106591862,0.190048751,0.805989884
chr17:56378591-56494956_BZRAP1_ENSG00000005379.11,0.002691369,0.908014687,0.940531481
chr2:75873908-75938115_GCFC2_ENSG00000005436.9,0.016545914,0.639209382,0.940531481
chr2:74648804-74652882_WDR54_ENSG00000005448.12,-0.025040137,0.729227976,0.940531481
chr7:86974996-87029111_CROT_ENSG00000005469.7,-0.026539875,0.836600701,0.940531481
chr7:104653871-105039755_KMT2E_ENSG00000005483.15,0.246202531,0.009813921,0.160244429
chr7:75471919-75518244_RHBDD2_ENSG00000005486.12,0.009744376,0.507671625,0.940531481
chr6:82879699-82957471_IBTK_ENSG00000005700.10,0.024910833,0.439992542,0.940531481
chr11:3357950-3400448_ZNF195_ENSG00000005801.12,0.097611929,0.233103406,0.866899497
chr13:77618791-77901185_MYCBP2_ENSG00000005810.13,0.098213,0.092677525,0.575555356
chr13:77564794-77601330_FBXL3_ENSG00000005812.6,0.03215797,0.43236951,0.940531481
chr17:48172100-48207246_PDK2_ENSG00000005882.7,0.014937312,0.632377323,0.940531481
chr17:48133331-48167845_ITGA3_ENSG00000005884.13,-0.009275136,0.749618616,0.940531481
chrX:24164341-24234372_ZFX_ENSG00000005889.11,-0.003383064,0.658789177,0.940531481
chrX:119561681-119603220_LAMP2_ENSG00000005893.11,0.062483264,0.237452815,0.872763846
chr17:34900736-34946278_GGNBP2_ENSG00000005955.8,-0.044030518,0.890328059,0.940531481
chr7:95107755-95169544_ASB4_ENSG00000005981.8,0.013181536,0.701775264,0.940531481
chr16:19513010-19533467_GDE1_ENSG00000006007.7,-0.137844693,0.026645811,0.307518873
chr19:18682539-18731849_C19orf60_ENSG00000006015.13,0.10392612,0.03498605,0.35996889
chr17:45884737-45899200_OSBPL7_ENSG00000006025.7,-0.116297536,0.010959955,0.175053239
chr17:31254927-31272124_TMEM98_ENSG00000006042.7,-0.187431327,0.016606271,0.22957794
chr17:7184985-7197934_YBX2_ENSG00000006047.8,0.005795692,0.870043194,0.940531481
chr17:34400225-34417515_CCL3_ENSG00000006075.11,0.004393942,0.890386592,0.940531481
chr17:35874899-35969544_SYNRG_ENSG00000006114.11,0.016267585,0.336627833,0.940531481
chr11:60680637-60720002_TMEM132A_ENSG00000006118.10,0.00260892,0.908679964,0.940531481
chr17:33901813-34053436_AP2B1_ENSG00000006125.12,-0.179644525,0.010895901,0.174182155
chr7:97361219-97369784_TAC1_ENSG00000006128.7,0.014152909,0.607978496,0.940531481
chr16:3313742-3368852_ZNF263_ENSG00000006194.6,-0.035623957,0.163324262,0.750561712
chr16:57406369-57418960_CX3CL1_ENSG00000006210.6,0.006628793,0.855640936,0.940531481
chr17:48609903-48633213_SPATA20_ENSG00000006282.15,0.003390709,0.74844046,0.940531481
chr16:3064712-3072384_TNFRSF12A_ENSG00000006327.9,0.041861031,0.343251548,0.940531481
chr14:71189242-71276251_MAP3K9_ENSG00000006432.11,0.006006749,0.79588145,0.940531481
chr7:39663081-39747723_RALA_ENSG00000006451.3,-0.009027032,0.423212283,0.940531481
chr7:97881690-98030380_BAIAP2L1_ENSG00000006453.9,0.032238802,0.464906944,0.940531481
chr7:139784545-139876835_JHDM1D_ENSG00000006459.6,0.068192358,0.149747139,0.720171212
chr7:13930852-14031050_ETV1_ENSG00000006468.9,0.003396119,0.901644981,0.940531481
chr7:141229002-141401953_AGK_ENSG00000006530.11,0.137206319,0.020992468,0.26628284
chr11:67776047-67797928_ALDH3B1_ENSG00000006534.11,0.007142342,0.898829794,0.940531481
chr1:55245384-55266940_TTC22_ENSG00000006555.6,0.017709525,0.680953394,0.940531481
chr7:77428121-77586818_PHTF2_ENSG00000006576.12,0.034854382,0.293777086,0.933962432
chr7:75398850-75419214_CCL26_ENSG00000006606.4,0.054942367,0.060571092,0.480403209
chr2:242295657-242449145_FARP2_ENSG00000006607.9,0.064858123,0.187274546,0.800475009
chr11:17515441-17565963_USH1C_ENSG00000006611.11,-0.029157664,0.280323937,0.924695612
chr7:30536236-30673649_GGCT_ENSG00000006625.13,0.17509982,0.054674236,0.457016874
chr7:87462882-87538856_DBF4_ENSG00000006634.3,0.050712852,0.238514997,0.873949256
chr7:112063022-112131117_IFRD1_ENSG00000006652.9,0.077827256,0.291641341,0.931649733
chr17:13972812-14111994_COX10_ENSG00000006695.6,0.036886529,0.251774231,0.892250827
chr7:73868119-74016931_GTF2IRD1_ENSG00000006704.6,0.244845912,0.00069527,0.026503345
chr19:39876491-39881835_PAF1_ENSG00000006712.10,-0.029055294,0.694426838,0.940531481
chr7:38762562-38971994_VPS41_ENSG00000006715.11,-0.005077593,0.555940535,0.940531481
chr17:12569206-12894960_ARHGAP44_ENSG00000006740.12,-0.032409387,0.288639602,0.929652562
chr17:12895707-12921504_ELAC2_ENSG00000006744.14,-0.052849343,0.071402232,0.518010545
chr7:12609750-12693228_SCIN_ENSG00000006747.10,0.012442536,0.767964695,0.940531481
chrX:2822010-2847392_ARSD_ENSG00000006756.11,-0.166938893,0.025609549,0.300042851
chrX:7866287-7895780_PNPLA4_ENSG00000006757.7,-0.002156914,0.71720472,0.940531481
chr12:1797739-1897844_ADIPOR2_ENSG00000006831.9,0.083202618,0.097515312,0.589277078
chr5:133450401-133706738_CDKL3_ENSG00000006837.7,0.031179431,0.36701101,0.940531481
chr16:2867163-2876305_PRSS21_ENSG00000007038.6,0.001215353,0.917720914,0.940531481
chr19:45574757-45808541_MARK4_ENSG00000007047.10,0.038160769,0.281007256,0.925237628
chr4:15961865-16086001_PROM1_ENSG00000007062.7,0.044348546,0.44841257,0.940531481
chr19:18043824-18054800_CCDC124_ENSG00000007080.6,0.005324005,0.974530284,0.9788922
chr17:2496503-2588909_PAFAH1B1_ENSG00000007168.8,-0.157082182,0.035723776,0.363473037
chr17:26083791-26221778_NOS2_ENSG00000007171.12,-0.092235683,0.017161313,0.233807033
chr17:11501747-11900827_DNAH9_ENSG00000007174.13,0.007120101,0.793056056,0.940531481
chr17:26782769-26972472_KIAA0100_ENSG00000007202.10,-0.012515209,0.617117041,0.940531481
chr17:26782769-26972472_SLC13A2_ENSG00000007216.10,0.002056591,0.912737717,0.940531481
chr19:45574757-45808541_TRAPPC6A_ENSG00000007255.6,0.014683918,0.446829661,0.940531481
chr19:42177234-42210895_CEACAM7_ENSG00000007306.10,-0.023865882,0.053594965,0.451035513
chr1:113009162-113214241_ST7L_ENSG00000007341.14,-0.070182023,0.21805741,0.849396155
chrX:153524023-153558700_TKTL1_ENSG00000007350.12,0.032002566,0.345048024,0.940531481
chr11:31806339-32127301_PAX6_ENSG00000007372.16,0.000268713,0.921918329,0.940531481
chr16:834973-850737_RPUSD1_ENSG00000007376.3,-0.065904749,0.209070067,0.837011921
chr16:108057-126354_RHBDF1_ENSG00000007384.11,0.093969848,0.054864157,0.457343209
chr16:238967-279462_LUC7L_ENSG00000007392.12,0.260164886,0.002414662,0.063139962
chr16:1383601-1401912_BAIAP3_ENSG00000007516.9,0.003193461,0.831461604,0.940531481
chr16:1383601-1401912_TSR3_ENSG00000007520.3,-0.032865239,0.659937304,0.940531481
chr16:616994-634136_PIGQ_ENSG00000007541.10,0.001817143,0.91429402,0.940531481
chr16:1662325-1752281_CRAMP1L_ENSG00000007545.11,0.017149426,0.577602432,0.940531481
chr6:35441373-35464853_TEAD3_ENSG00000007866.14,0.039676639,0.261302646,0.905163442
chr1:6684925-6761984_DNAJC11_ENSG00000007923.11,-0.081661717,0.043126092,0.400991368
chr1:171060017-171086959_FMO3_ENSG00000007933.8,0.00673939,0.853609085,0.940531481
chr6:16129355-16148479_MYLIP_ENSG00000007944.10,0.0861491,0.060229788,0.478907924
chrX:100098312-100129334_NOX1_ENSG00000007952.13,0.014542382,0.596743756,0.940531481
chr1:23832921-23857712_E2F2_ENSG00000007968.6,-0.039747999,0.046397109,0.415485659
chr6:170844204-170862429_PSMB1_ENSG00000008018.8,0.061147948,0.759855251,0.940531481
chr6:15246526-15522252_JARID2_ENSG00000008083.9,0.010934789,0.526005984,0.940531481
chr1:1634168-1677431_CDK11A_ENSG00000008128.18,0.022123603,0.318580312,0.940531481
chr1:1682670-1711896_NADK_ENSG00000008130.11,0.021496097,0.617052861,0.940531481
chr7:6201406-6312275_CYTH3_ENSG00000008256.11,0.005373627,0.813799525,0.940531481
chr7:87563457-87832204_ADAM22_ENSG00000008277.10,0.005360228,0.876904863,0.940531481
chr7:105730948-105753022_SYPL1_ENSG00000008282.3,0.072719801,0.308372533,0.940531481
chr17:61509664-61523739_CYB561_ENSG00000008283.11,-0.042860429,0.214521146,0.844619063
chr17:49039534-49198226_SPAG9_ENSG00000008294.16,0.055455841,0.455429685,0.940531481
chr3:48673901-48700348_CELSR3_ENSG00000008300.10,0.003288351,0.902700883,0.940531481
chr7:121715700-121784334_AASS_ENSG00000008311.10,0.063551255,0.127945749,0.666074796
chr12:6419601-6437672_PLEKHG6_ENSG00000008323.11,-0.011343436,0.910278458,0.940531481
chr3:42589460-42709072_SS18L2_ENSG00000008324.6,0.001295148,0.897407541,0.940531481
chr19:4343523-4360083_MPND_ENSG00000008382.11,-0.019605743,0.613580881,0.940531481
chr12:16500075-16763528_MGST1_ENSG00000008394.8,-0.282311929,0.19744763,0.817393058
chr12:107385141-107517092_CRY1_ENSG00000008405.7,-0.020922329,0.789452832,0.940531481
chr19:13106421-13209610_NFIX_ENSG00000008441.12,0.053930282,0.185930661,0.799641642
chr8:134467090-134584183_ST3GAL1_ENSG00000008513.10,0.00442499,0.694820572,0.940531481
chr16:3115297-3137101_IL32_ENSG00000008517.12,0.51385052,3.35E-07,5.63E-05
chr16:2089815-2185899_PKD1_ENSG00000008710.13,0.030599623,0.530443182,0.940531481
chr17:38175349-38256978_MED24_ENSG00000008838.13,0.043154574,0.497226273,0.940531481
chr8:22545171-22941132_RHOBTB2_ENSG00000008853.12,0.00844,0.818828989,0.940531481
chr2:37195525-37311485_HEATR5B_ENSG00000008869.7,0.059575093,0.328623812,0.940531481
chr3:169657140-169716161_SEC62_ENSG00000008952.12,-0.325025524,0.022087301,0.274675154
chr8:56979853-56987069_RPS20_ENSG00000008988.5,-0.058574255,0.027445696,0.31300064
chr1:115259533-115301297_CSDE1_ENSG00000009307.11,-0.094158172,0.232576123,0.865913382
chr7:156931606-157062066_UBE3C_ENSG00000009335.13,-0.005563969,0.684343553,0.940531481
chr6:111620233-111927481_REV3L_ENSG00000009413.11,-0.277454377,0.002729031,0.069090166
chr6:150690027-150727105_IYD_ENSG00000009765.10,-0.031715559,0.678290456,0.940531481
chr1:28052489-28089633_FAM76A_ENSG00000009780.11,0.095250968,0.119259641,0.642060706
chr1:209929376-209957904_TRAF3IP3_ENSG00000009790.10,0.011569653,0.665746315,0.940531481
chr14:77741298-77797940_POMT2_ENSG00000009830.7,0.007698016,0.784813243,0.940531481
chr6:142468366-142545826_VTA1_ENSG00000009844.11,-0.051875711,0.657310577,0.940531481
chr7:73007523-73038873_MLXIPL_ENSG00000009950.11,0.083106695,0.049966761,0.43469182
chr7:72854727-72936608_BAZ1B_ENSG00000009954.6,-0.027021733,0.84201793,0.940531481
chr6:13615558-13711796_RANBP9_ENSG00000010017.9,0.068705657,0.087634938,0.563820702
chr6:36322418-36458920_ETV7_ENSG00000010030.9,0.010245392,0.773932218,0.940531481
chr1:231468479-231490769_SPRTN_ENSG00000010072.11,-0.021499225,0.932551263,0.948090331
chr1:171750787-171783163_METTL13_ENSG00000010165.15,-0.035089007,0.59571907,0.940531481
chr12:4671369-4960277_DYRK4_ENSG00000010219.9,-0.068047196,0.556736597,0.940531481
chr17:30593194-30708905_ZNF207_ENSG00000010244.12,-0.065885475,0.122333881,0.649419765
chr3:48636434-48648409_UQCRC1_ENSG00000010256.6,-0.883197915,1.84E-08,4.94E-06
chr7:38217823-38270272_STARD3NL_ENSG00000010270.9,0.00373299,0.426118517,0.940531481
chr12:6308880-6347425_CD9_ENSG00000010278.7,0.540902099,0.000743711,0.027500788
chr12:6601149-6641121_NCAPD2_ENSG00000010292.8,0.003750402,0.893252332,0.940531481
chr19:46171501-46186982_GIPR_ENSG00000010310.4,-0.016362715,0.395911379,0.940531481
chr3:52444672-52457657_PHF7_ENSG00000010318.15,-0.012989759,0.676286536,0.940531481
chr3:52489133-52527087_NISCH_ENSG00000010322.11,-0.063895792,0.309293732,0.940531481
chrX:148558520-148632055_IDS_ENSG00000010404.13,0.052084035,0.3954063,0.940531481
chr9:33750514-33920402_PRSS3_ENSG00000010438.12,-0.22834206,0.125565304,0.658929853
chr16:3238211-3286221_ZNF200_ENSG00000010539.7,0.020592646,0.496649879,0.940531481
chr12:6976282-7032861_LRRC23_ENSG00000010626.10,0.032364251,0.408684015,0.940531481
chr1:41492871-41707826_SCMH1_ENSG00000010803.12,-0.055942166,0.12990993,0.671100121
chr6:111981534-112194655_FYN_ENSG00000010810.13,0.021690853,0.381063731,0.940531481
chr6:143069579-143266338_HIVEP2_ENSG00000010818.4,0.002587987,0.908846288,0.940531481
chr1:171216718-171255117_FMO1_ENSG00000010932.11,0.012509875,0.706214617,0.940531481
chr1:24069644-24104777_TCEB3_ENSG00000011007.8,0.00356683,0.815282914,0.940531481
chr1:24117459-24122029_LYPLA2_ENSG00000011009.6,-0.019278943,0.560768666,0.940531481
chr1:11821843-11908402_CLCN6_ENSG00000011021.17,0.020291879,0.414512383,0.940531481
chr17:49230896-49249108_NME2_ENSG00000011052.17,0.021739985,0.426309866,0.940531481
chr14:93703895-93799438_BTBD7_ENSG00000011114.10,0.035085431,0.29532626,0.933962432
chr19:3750816-3761697_APBA3_ENSG00000011132.7,0.014919533,0.651644922,0.940531481
chr17:56282802-56345879_MKS1_ENSG00000011143.12,0.026204482,0.382476441,0.940531481
chr3:43328003-43775863_ABHD5_ENSG00000011198.3,-0.075240888,0.149446466,0.71929217
chr19:15464195-15529952_AKAP8L_ENSG00000011243.13,0.028373364,0.426468184,0.940531481
chr17:49254785-49337524_MBTD1_ENSG00000011258.11,-0.024791177,0.85383725,0.940531481
chr17:49337888-49375297_UTP18_ENSG00000011260.9,0.049712274,0.296952644,0.934383771
chr7:5659677-5821370_RNF216_ENSG00000011275.14,-0.059817131,0.40473617,0.940531481
chr17:15879873-16256970_TTC19_ENSG00000011295.11,0.017525637,0.200119903,0.822841644
chr19:797074-812327_PTBP1_ENSG00000011304.12,0.078077284,0.385934692,0.940531481
chr19:38701645-38720354_DPF1_ENSG00000011332.15,5.53E-05,0.922696013,0.940531481
chr11:61282784-61348620_SYT7_ENSG00000011347.5,-0.004534126,0.868930589,0.940531481
chr3:45429997-45590913_LARS2_ENSG00000011376.5,0.027503932,0.349299807,0.940531481
chr11:17095935-17229530_PIK3C2A_ENSG00000011405.9,0.054815813,0.554171513,0.940531481
chr19:44150246-44174699_PLAUR_ENSG00000011422.7,0.311912126,0.000422735,0.018306043
chr7:36363829-36493400_ANLN_ENSG00000011426.6,-0.001141927,0.771324463,0.940531481
chr19:15532318-15560762_WIZ_ENSG00000011451.13,0.000848592,0.919504231,0.940531481
chr9:125703111-125867145_RABGAP1_ENSG00000011454.12,-0.039248312,0.644219692,0.940531481
chr12:91539024-91576900_DCN_ENSG00000011465.12,-0.002381238,0.430871071,0.940531481
chr19:46850250-46896238_PPP5C_ENSG00000011485.10,0.000591281,0.920632892,0.940531481
chr2:65283499-65357240_CEP68_ENSG00000011523.9,0.023809379,0.736182801,0.940531481
chr2:39476406-39945103_MAP4K3_ENSG00000011566.10,-0.015011608,0.170720779,0.767155088
chr19:36395302-36399197_TYROBP_ENSG00000011600.7,0.013026861,0.647258378,0.940531481
chr16:20944432-21191937_TMEM159_ENSG00000011638.6,0.049457026,0.270592569,0.91377453
chr17:41196311-41277500_BRCA1_ENSG00000012048.15,0.028616756,0.486727846,0.940531481
chr19:45882891-45982086_ERCC1_ENSG00000012061.11,-0.150308009,0.007920426,0.139937715
chr3:50304989-50314977_SEMA3B_ENSG00000012171.13,0.024122269,0.510968566,0.940531481
chrX:49028272-49042845_PRICKLE3_ENSG00000012211.8,0.00443716,0.93351286,0.94885714
chr8:28457985-28613116_EXTL3_ENSG00000012232.4,0.009952473,0.75323947,0.940531481
chr6:53132195-53213947_ELOVL5_ENSG00000012660.9,0.03476799,0.203127407,0.829180207
chr10:45869660-45948569_ALOX5_ENSG00000012779.6,-0.050473118,0.296293,0.933962432
chrY:21865750-21906825_KDM5D_ENSG00000012817.11,0.006432206,0.734544644,0.940531481
chr12:54104902-54121529_CALCOCO1_ENSG00000012822.11,0.032227164,0.230326612,0.864214516
chr14:93651295-93695561_UBR7_ENSG00000012963.9,0.008802821,0.745331003,0.940531481
chr14:50885218-51135049_MAP4K5_ENSG00000012983.7,-0.04626706,0.421062176,0.940531481
chr19:40476911-40487348_PSMC4_ENSG00000013275.3,-0.054058018,0.89951318,0.940531481
chr3:170136652-170578169_CLDN11_ENSG00000013297.6,0.014965483,0.683792708,0.940531481
chr17:42396992-42402238_SLC25A39_ENSG00000013306.11,-0.131389792,0.181858059,0.790719671
chr16:29817426-29859355_MVP_ENSG00000013364.14,0.004808432,0.934127819,0.94916596
chr7:151038784-151110440_NUB1_ENSG00000013374.11,-0.067130538,0.817626347,0.940531481
chr6:83777384-83908651_PGM3_ENSG00000013375.11,-0.111127853,0.288840369,0.929652562
chr6:83777384-83908651_RWDD2A_ENSG00000013392.6,0.003897807,0.697622122,0.940531481
chr2:201717731-201729422_CLK1_ENSG00000013441.11,0.63950903,8.19E-06,0.000902991
chr12:106751435-107283090_POLR3B_ENSG00000013503.5,0.011941453,0.86488477,0.940531481
chr14:77253587-77292589_ANGEL1_ENSG00000013523.5,0.019619665,0.529053034,0.940531481
chr5:141323149-141369856_RNF14_ENSG00000013561.13,0.034115307,0.377344905,0.940531481
chrX:153618314-153650065_DNASE1L1_ENSG00000013563.9,0.018857285,0.515919792,0.940531481
chr12:31173696-31257725_DDX11_ENSG00000013573.12,-0.00437802,0.875223935,0.940531481
chr12:13080659-13193613_HEBP1_ENSG00000013583.4,0.035153032,0.297048687,0.934383771
chr12:13043715-13070871_GPRC5A_ENSG00000013588.5,0.533270969,2.74E-07,4.86E-05
chr6:96806249-97003152_UFL1_ENSG00000014123.9,-0.036703673,0.672208169,0.940531481
chr11:65029232-65073060_POLA2_ENSG00000014138.4,0.019529938,0.579632438,0.940531481
chr8:144519824-144623623_ZC3H3_ENSG00000014164.6,0.00554173,0.807669179,0.940531481
chr11:64945076-64979477_CAPN1_ENSG00000014216.11,0.060277259,0.243306602,0.878672751
chr3:132036210-132087142_ACPP_ENSG00000014257.11,0.015240722,0.651539516,0.940531481
chr2:63348517-64054977_MDH1_ENSG00000014641.13,-0.374193886,0.000971474,0.033424558
chr4:41992488-42092474_SLC30A9_ENSG00000014824.9,0.019659265,0.667312391,0.940531481
chr1:149900542-149908791_MTMR11_ENSG00000014914.15,0.074726991,0.339483577,0.940531481
chr10:101419262-101515891_COX15_ENSG00000014919.8,-0.01582422,0.815520356,0.940531481
chr14:91737666-91884188_CCDC88C_ENSG00000015133.14,-0.030521776,0.663646812,0.940531481
chr12:42550905-42632151_YAF2_ENSG00000015153.10,-0.024638783,0.332980944,0.940531481
chr10:180404-300577_ZMYND11_ENSG00000015171.14,-0.022512826,0.277298424,0.922449168
chr16:89679715-89704839_DPEP1_ENSG00000015413.5,0.213787542,0.000719389,0.027038375
chr22:18216905-18257536_BID_ENSG00000015475.14,-0.088023194,0.038034613,0.37611321
chr5:138282408-138667360_MATR3_ENSG00000015479.13,0.004294244,0.957124601,0.966310464
chr17:48423452-48440499_XYLT2_ENSG00000015532.5,-0.007298143,0.818450458,0.940531481
chr2:110550334-110615272_RGPD5_ENSG00000015568.8,-0.023751759,0.27854733,0.923041295
chr7:44418719-44530479_NUDCD3_ENSG00000015676.13,0.092641393,0.072356854,0.520925731
chr5:50668569-50690564_ISL1_ENSG00000016082.10,0.017741413,0.575387331,0.940531481
chr3:53528682-53880417_CHDH_ENSG00000016391.6,-0.059997692,0.233451563,0.867551086
chr6:137321107-137366298_IL20RA_ENSG00000016402.8,0.063752643,0.139779058,0.69356433
chr1:86934050-86965972_CLCA1_ENSG00000016490.11,-0.163179093,5.25E-05,0.003816904
chr1:87012760-87158886_CLCA4_ENSG00000016602.8,-0.086146065,0.002686296,0.068269716
chr3:52529353-52742182_GLT8D1_ENSG00000016864.12,-0.023630935,0.268382412,0.911869224
chr3:130569438-131100319_ATP2C1_ENSG00000017260.15,0.054682114,0.399987524,0.940531481
chr17:36686250-36762183_SRCIN1_ENSG00000017373.11,0.006803406,0.852420401,0.940531481
chr12:102789644-102874423_IGF1_ENSG00000017427.11,0.009366504,0.79687595,0.940531481
chrX:48316919-48328644_SLC38A5_ENSG00000017483.10,0.006866561,0.726356943,0.940531481
chrX:49019060-49024822_MAGIX_ENSG00000017621.11,0.005233471,0.868662298,0.940531481
chr18:9475006-9538114_RALBP1_ENSG00000017797.7,0.065574753,0.097455068,0.589277078
