TableS1.  Gene expression signatures of crypt cell populations.  ,,,,,,
,,,,,,
Proliferation Signature (EphB2high = EphB2medium > EphB2low),,,,,,
,,,,,,
ID,Gene,Description,EphB2high vs EphB2medium,EphB2medium vs EphB2low,,* denotes repeated genes
1435649_at,NEXN,nexilin (F actin binding protein),1.15,4.76,,
1436922_at,PPIL5*,peptidylprolyl isomerase (cyclophilin)-like 5,1.03,4.75,,
1422628_at,FAM111A,"family with sequence similarity 111, member A",1.10,4.75,,
1427284_a_at,TTPA,tocopherol (alpha) transfer protein,1.48,4.73,,
1426002_a_at,CDC7,cell division cycle 7 homolog (S. cerevisiae),1.20,4.73,,
1420477_at,NAP1L1*,nucleosome assembly protein 1-like 1,1.30,4.72,,
1418199_at,HEMGN,hemogen,-1.00,4.69,,
1435575_at,KNTC1,kinetochore associated 1,1.31,4.67,,
1428230_at,PRKD3*,protein kinase D3,1.49,4.66,,
1424918_at,TBC1D19,"TBC1 domain family, member 19",1.43,4.65,,
1454744_at,SKA3,spindle and kinetochore associated complex subunit 3,1.21,4.63,,
1417926_at,NCAPG2,"non-SMC condensin II complex, subunit G2",1.14,4.63,,
1427094_at,POLE2,"polymerase (DNA directed), epsilon 2 (p59 subunit)",1.21,4.60,,
1418026_at,EXO1*,exonuclease 1,1.39,4.58,,
1436723_at,CENPI,centromere protein I,1.35,4.58,,
1437370_at,SGOL2,shugoshin-like 2 (S. pombe),1.21,4.57,,
1427105_at,CENPN*,centromere protein N,1.46,4.55,,
1434695_at,DTL*,denticleless homolog (Drosophila),1.20,4.54,,
1452305_s_at,CENPN*,centromere protein N,1.50,4.53,,
1424060_at,NEIL3,nei endonuclease VIII-like 3 (E. coli),1.36,4.52,,
1418027_at,EXO1*,exonuclease 1,1.32,4.51,,
1427541_x_at,HMMR*,hyaluronan-mediated motility receptor (RHAMM),1.26,4.49,,
1423123_at,RAD54L*,RAD54-like (S. cerevisiae),1.13,4.49,,
1438571_at,BUB1*,budding uninhibited by benzimidazoles 1 homolog (yeast),1.27,4.48,,
1426652_at,MCM3*,minichromosome maintenance complex component 3,1.28,4.46,,
1417971_at,NRM,nurim (nuclear envelope membrane protein),1.32,4.46,,
1436759_x_at,CNN3*,"calponin 3, acidic",1.39,4.46,,
1456950_at,ALMS1,Alstrom syndrome 1,1.31,4.45,,
1417586_at,TIMELESS*,timeless homolog (Drosophila),1.40,4.43,,
1436174_at,ATAD2,"ATPase family, AAA domain containing 2",1.06,4.40,,
1456117_at,RRP1B,ribosomal RNA processing 1 homolog B (S. cerevisiae),1.39,4.39,,
1424128_x_at,AURKB*,aurora kinase B,1.31,4.38,,
1434188_at,SLC16A12,"solute carrier family 16, member 12 (monocarboxylic acid transporter 12)",1.48,4.38,,
1438453_at,RAD51C*,RAD51 homolog C (S. cerevisiae),1.16,4.34,,
1449705_x_at,MCM3*,minichromosome maintenance complex component 3,1.02,4.33,,
1428104_at,TPX2*,"TPX2, microtubule-associated, homolog (Xenopus laevis)",1.45,4.31,,
1429812_at,C1ORF135,chromosome 1 open reading frame 135,1.27,4.31,,
1449877_s_at,KIFC1,kinesin family member C1,1.45,4.30,,
1435292_at,TBC1D4,"TBC1 domain family, member 4",1.14,4.30,,
1439208_at,CHEK1*,CHK1 checkpoint homolog (S. pombe),1.20,4.29,,
1416757_at,ZWILCH,"Zwilch, kinetochore associated, homolog (Drosophila)",1.25,4.29,,
1456984_at,SCML2,sex comb on midleg-like 2 (Drosophila),1.36,4.29,,
1423680_at,FADS1,fatty acid desaturase 1,1.38,4.29,,
1452881_at,GINS2*,GINS complex subunit 2 (Psf2 homolog),1.39,4.27,,
1424942_a_at,MYC,v-myc myelocytomatosis viral oncogene homolog (avian),1.43,4.27,,
1417587_at,TIMELESS*,timeless homolog (Drosophila),1.23,4.27,,
1434449_at,AQP4,aquaporin 4,1.43,4.27,,
1452620_at,PCK2,phosphoenolpyruvate carboxykinase 2 (mitochondrial),1.43,4.26,,
1416575_at,CDC45L,CDC45 cell division cycle 45-like (S. cerevisiae),1.19,4.24,,
1436071_at,ANKRD26,ankyrin repeat domain 26,1.24,4.21,,
1428543_at,PPAT*,phosphoribosyl pyrophosphate amidotransferase,1.36,4.21,,
1417541_at,HELLS*,"helicase, lymphoid-specific",1.02,4.21,,
1435497_at,C15ORF42,chromosome 15 open reading frame 42,1.31,4.20,,
1457078_at,ZNF473,zinc finger protein 473,1.33,4.18,,
1437251_at,CDCA2*,cell division cycle associated 2,1.47,4.18,,
1458902_at,NA,NA,1.10,4.18,,
1450156_a_at,HMMR*,hyaluronan-mediated motility receptor (RHAMM),1.37,4.17,,
1422462_at,UBE2T,ubiquitin-conjugating enzyme E2T (putative),1.31,4.17,,
1451417_at,BRCA1*,"breast cancer 1, early onset",1.25,4.16,,
1452314_at,KIF11*,kinesin family member 11,1.31,4.15,,
1439695_a_at,KIF20B,kinesin family member 20B,1.29,4.15,,
1419838_s_at,PLK4*,polo-like kinase 4 (Drosophila),1.19,4.14,,
1442134_at,PRR11*,proline rich 11,1.36,4.13,,
1426649_at,TMEFF1*,transmembrane protein with EGF-like and two follistatin-like domains 1,1.23,4.12,,
1455570_x_at,CNN3*,"calponin 3, acidic",1.20,4.10,,
1458076_at,NA,NA,1.31,4.08,,
1415945_at,MCM5*,minichromosome maintenance complex component 5,1.31,4.07,,
1448777_at,MCM2*,minichromosome maintenance complex component 2,1.25,4.06,,
1452598_at,GINS1,GINS complex subunit 1 (Psf1 homolog),1.32,4.06,,
1429059_s_at,TMEM107*,transmembrane protein 107,1.46,4.06,,
1424766_at,ERCC6L,"excision repair cross-complementing rodent repair deficiency, complementation group 6-like",1.22,4.05,,
1430193_at,CASC5,cancer susceptibility candidate 5,1.49,4.05,,
1423754_at,IFITM3,interferon induced transmembrane protein 3 (1-8U),1.36,4.03,,
1448899_s_at,RAD51AP1*,RAD51 associated protein 1,1.27,4.03,,
1417940_s_at,RAD51AP1*,RAD51 associated protein 1,1.40,4.03,,
1424046_at,BUB1*,budding uninhibited by benzimidazoles 1 homolog (yeast),1.28,4.02,,
1423920_at,NCAPH*,"non-SMC condensin I complex, subunit H",1.37,4.02,,
1424407_s_at,CBX6,chromobox homolog 6,1.49,4.02,,
1439520_at,DTL*,denticleless homolog (Drosophila),1.18,4.02,,
1448953_at,BLM,"Bloom syndrome, RecQ helicase-like",1.31,4.02,,
1428713_s_at,GINS2*,GINS complex subunit 2 (Psf2 homolog),1.29,4.01,,
1444257_at,PRR11*,proline rich 11,1.23,4.01,,
1430663_at,9430037O13RIK,RIKEN cDNA 9430037O13 gene,1.20,4.01,,
1434436_at,MORC4,MORC family CW-type zinc finger 4,1.11,4.01,,
1455496_at,PFAS,phosphoribosylformylglycinamidine synthase,-1.09,4.00,,
1419526_at,FGR,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,1.19,3.99,,
1434734_at,RAD54B*,RAD54 homolog B (S. cerevisiae),1.37,3.99,,
1453053_at,C6ORF173,chromosome 6 open reading frame 173,1.26,3.99,,
1436707_x_at,NCAPH*,"non-SMC condensin I complex, subunit H",1.34,3.99,,
1443171_at,NA,NA,1.32,3.98,,
1434808_at,PALB2,partner and localizer of BRCA2,1.25,3.98,,
1416558_at,MELK,maternal embryonic leucine zipper kinase,1.31,3.98,,
1455852_at,NSL1,"NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)",1.43,3.96,,
1455983_at,CDCA2*,cell division cycle associated 2,1.42,3.95,,
1420478_at,NAP1L1*,nucleosome assembly protein 1-like 1,1.32,3.95,,
1453202_at,C6ORF150*,chromosome 6 open reading frame 150,1.44,3.94,,
1441079_at,MBD4,methyl-CpG binding domain protein 4,1.13,3.94,,
1426653_at,MCM3*,minichromosome maintenance complex component 3,1.28,3.94,,
1427161_at,CENPF*,"centromere protein F, 350/400ka (mitosin)",1.31,3.94,,
1416030_a_at,MCM7*,minichromosome maintenance complex component 7,1.35,3.94,,
1421546_a_at,RACGAP1*,Rac GTPase activating protein 1,1.40,3.93,,
1426612_at,TIPIN,TIMELESS interacting protein,1.29,3.93,,
1422734_a_at,MYB (includes EG:4602)*,v-myb myeloblastosis viral oncogene homolog (avian),1.17,3.91,,
1434767_at,C14ORF106,chromosome 14 open reading frame 106,1.28,3.90,,
1434981_at,C16ORF48,chromosome 16 open reading frame 48,1.46,3.90,,
1423318_at,RAD18*,RAD18 homolog (S. cerevisiae),1.41,3.90,,
1435005_at,CENPE*,"centromere protein E, 312kDa",1.23,3.89,,
1417938_at,RAD51AP1*,RAD51 associated protein 1,1.18,3.88,,
1449708_s_at,CHEK1*,CHK1 checkpoint homolog (S. pombe),1.20,3.88,,
1420028_s_at,MCM3*,minichromosome maintenance complex component 3,-1.00,3.87,,
1415811_at,UHRF1*,ubiquitin-like with PHD and ring finger domains 1,1.34,3.86,,
1453683_a_at,CEP55*,centrosomal protein 55kDa,1.46,3.85,,
1453107_s_at,FOXM1*,forkhead box M1,1.41,3.85,,
1436472_at,SLFN13*,schlafen family member 13,1.22,3.85,,
1434850_at,IQGAP3,IQ motif containing GTPase activating protein 3,1.45,3.85,,
1431873_a_at,TUBE1,"tubulin, epsilon 1",1.40,3.84,,
1430811_a_at,NUF2,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)",1.39,3.83,,
1424971_at,CCDC99,coiled-coil domain containing 99,1.36,3.83,,
1418281_at,RAD51,"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)",1.19,3.83,,
1456163_at,FAM72A,"family with sequence similarity 72, member A",1.28,3.82,,
1448466_at,CDCA5*,cell division cycle associated 5,1.33,3.80,,
1448635_at,SMC2*,structural maintenance of chromosomes 2,1.12,3.80,,
1453226_at,KIF18B,kinesin family member 18B,1.47,3.79,,
1420029_at,MCM3*,minichromosome maintenance complex component 3,1.11,3.79,,
1451358_a_at,RACGAP1*,Rac GTPase activating protein 1,1.34,3.78,,
1435245_at,GLS2,"glutaminase 2 (liver, mitochondrial)",1.32,3.78,,
1419269_at,DUT (includes EG:1854)*,deoxyuridine triphosphatase,1.26,3.78,,
1429058_at,TMEM107*,transmembrane protein 107,1.18,3.77,,
1424629_at,BRCA1*,"breast cancer 1, early onset",1.16,3.77,,
1420083_at,AU016916,expressed sequence AU016916,1.12,3.77,,
1450194_a_at,MYB (includes EG:4602)*,v-myb myeloblastosis viral oncogene homolog (avian),1.07,3.75,,
1427141_at,2700099C18RIK,RIKEN cDNA 2700099C18 gene,1.34,3.74,,
1416969_at,GTSE1,G-2 and S-phase expressed 1,1.46,3.74,,
1450862_at,RAD54L*,RAD54-like (S. cerevisiae),1.27,3.73,,
1430139_at,HELLS*,"helicase, lymphoid-specific",1.22,3.73,,
1454790_at,WDR35 (includes EG:57539),WD repeat domain 35,1.31,3.73,,
1448191_at,PLK1,polo-like kinase 1 (Drosophila),1.44,3.71,,
1449335_at,TIMP3,TIMP metallopeptidase inhibitor 3,1.12,3.71,,
1454011_a_at,RPA2,"replication protein A2, 32kDa",1.48,3.71,,
1452242_at,CEP55*,centrosomal protein 55kDa,1.02,3.71,,
1459963_at,NA,NA,1.08,3.71,,
1435826_at,RAD18*,RAD18 homolog (S. cerevisiae),1.20,3.71,,
1439562_at,C6ORF167*,chromosome 6 open reading frame 167,1.29,3.68,,
1453038_at,C4ORF21,chromosome 4 open reading frame 21,1.26,3.68,,
1418036_at,PRIM2*,"primase, DNA, polypeptide 2 (58kDa)",1.19,3.67,,
1435773_at,C12ORF48,chromosome 12 open reading frame 48,1.37,3.67,,
1447363_s_at,BUB1B,budding uninhibited by benzimidazoles 1 homolog beta (yeast),1.40,3.67,,
1437186_at,C1ORF112,chromosome 1 open reading frame 112,1.31,3.66,,
1439227_at,NA,NA,-1.04,3.66,,
1423885_at,LAMC1,"laminin, gamma 1 (formerly LAMB2)",1.41,3.65,,
1433543_at,ANLN,"anillin, actin binding protein",1.08,3.65,,
1434554_at,TRIM37*,tripartite motif-containing 37,1.39,3.65,,
1416120_at,RRM2*,ribonucleotide reductase M2,1.09,3.65,,
1417911_at,CCNA2,cyclin A2,1.26,3.63,,
1452715_at,HAUS5,"HAUS augmin-like complex, subunit 5",1.23,3.63,,
1433862_at,ESPL1,extra spindle pole bodies homolog 1 (S. cerevisiae),1.38,3.62,,
1423809_at,TCF19,transcription factor 19,1.22,3.62,,
1448834_at,FOXM1*,forkhead box M1,1.31,3.62,,
1438447_at,DDX11,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)",1.41,3.62,,
1437611_x_at,KIF2C,kinesin family member 2C,1.37,3.61,,
1416492_at,CCNE1,cyclin E1,1.04,3.60,,
1426631_at,PUS7,pseudouridylate synthase 7 homolog (S. cerevisiae),1.42,3.60,,
1428510_at,LPHN1,latrophilin 1,1.42,3.60,,
1437130_at,KBTBD6,kelch repeat and BTB (POZ) domain containing 6,1.18,3.59,,
1435029_at,NA,NA,1.45,3.58,,
1427050_at,TXNDC16,thioredoxin domain containing 16,1.47,3.58,,
1433743_at,DACH1,dachshund homolog 1 (Drosophila),1.29,3.57,,
1423525_at,MASTL*,microtubule associated serine/threonine kinase-like,1.40,3.56,,
1455012_s_at,TRIM37*,tripartite motif-containing 37,1.31,3.56,,
1455544_at,ZRANB3,"zinc finger, RAN-binding domain containing 3",1.41,3.56,,
1452020_a_at,SIVA1*,"SIVA1, apoptosis-inducing factor",1.49,3.55,,
1428499_at,2810454L23RIK,RIKEN cDNA 2810454L23 gene,1.34,3.55,,
1435336_at,CELSR2,"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)",1.32,3.55,,
1417166_at,PSIP1,PC4 and SFRS1 interacting protein 1,1.43,3.55,,
1429557_at,MCM8,minichromosome maintenance complex component 8,1.46,3.54,,
1416299_at,SHCBP1,SHC SH2-domain binding protein 1,1.22,3.53,,
1423714_at,ASF1B,ASF1 anti-silencing function 1 homolog B (S. cerevisiae),1.10,3.53,,
1421038_a_at,KCNN4,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4",1.35,3.53,,
1433935_at,AU020206,expressed sequence AU020206,1.35,3.53,,
1418369_at,PRIM1*,"primase, DNA, polypeptide 1 (49kDa)",1.22,3.53,,
1448441_at,CKS1B,CDC28 protein kinase regulatory subunit 1B,1.34,3.52,,
1423877_at,CHAF1B,"chromatin assembly factor 1, subunit B (p60)",1.32,3.52,,
1434079_s_at,MCM2*,minichromosome maintenance complex component 2,1.11,3.52,,
1452226_at,RCC2*,regulator of chromosome condensation 2,1.43,3.51,,
1415850_at,RASA3,RAS p21 protein activator 3,1.37,3.51,,
1419270_a_at,DUT (includes EG:1854)*,deoxyuridine triphosphatase,1.17,3.51,,
1416563_at,CTPS,CTP synthase,1.35,3.51,,
1423948_at,BAG2,BCL2-associated athanogene 2,1.31,3.51,,
1426323_x_at,SIVA1*,"SIVA1, apoptosis-inducing factor",1.44,3.51,,
1451374_x_at,CKLF*,chemokine-like factor,1.36,3.51,,
1418035_a_at,PRIM2*,"primase, DNA, polypeptide 2 (58kDa)",1.17,3.50,,
1453252_at,DUS4L,dihydrouridine synthase 4-like (S. cerevisiae),1.30,3.50,,
1455553_at,TMEM194B,transmembrane protein 194B,1.27,3.50,,
1416256_a_at,TUBB,"tubulin, beta",1.46,3.50,,
1429665_at,HAUS6*,"HAUS augmin-like complex, subunit 6",1.19,3.50,,
1434170_at,DCAF12L1,DDB1 and CUL4 associated factor 12-like 1,1.22,3.49,,
1415972_at,MARCKS (includes EG:4082),myristoylated alanine-rich protein kinase C substrate,1.06,3.49,,
1416670_at,SETDB1,"SET domain, bifurcated 1",1.43,3.49,,
1422172_x_at,2810408B13RIK,RIKEN cDNA 2810408B13 gene,1.06,3.49,,
1429270_a_at,SYCE2,synaptonemal complex central element protein 2,1.24,3.48,,
1425753_a_at,UNG,uracil-DNA glycosylase,1.07,3.48,,
1439301_at,NA,NA,1.35,3.48,,
1420696_at,SEMA3C,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C",1.49,3.48,,
1451823_at,CLCA4 (includes EG:229927),chloride channel calcium activated 4,1.41,3.47,,
1428518_at,MLF1IP,MLF1 interacting protein,1.23,3.47,,
1423565_at,PAICS*,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",1.26,3.47,,
1416031_s_at,MCM7*,minichromosome maintenance complex component 7,1.23,3.47,,
1448187_at,POLD1*,"polymerase (DNA directed), delta 1, catalytic subunit 125kDa",1.38,3.46,,
1434711_at,C17ORF53,chromosome 17 open reading frame 53,1.50,3.45,,
1417878_at,E2F1,E2F transcription factor 1,1.07,3.45,,
1455547_at,ZC3H7B,zinc finger CCCH-type containing 7B,1.43,3.45,,
1420707_a_at,TRAIP,TRAF interacting protein,1.47,3.45,,
1439065_x_at,LOC388559,similar to hCG1778601,1.13,3.45,,
1438063_at,MPHOSPH9*,M-phase phosphoprotein 9,1.05,3.45,,
1435114_at,WDHD1,WD repeat and HMG-box DNA binding protein 1,1.11,3.45,,
1428207_at,BCL7A,B-cell CLL/lymphoma 7A,1.28,3.45,,
1441391_at,NA,NA,1.17,3.44,,
1452811_at,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,1.24,3.44,,
1439327_at,CCBE1,collagen and calcium binding EGF domains 1,1.10,3.44,,
1419686_at,TSGA14*,"testis specific, 14",1.41,3.44,,
1453361_at,HELLS*,"helicase, lymphoid-specific",1.05,3.43,,
1423524_at,MASTL*,microtubule associated serine/threonine kinase-like,1.27,3.43,,
1433892_at,SPAG5,sperm associated antigen 5,1.47,3.43,,
1428626_at,LYSMD2,"LysM, putative peptidoglycan-binding, domain containing 2",1.34,3.42,,
1423463_a_at,C15ORF23,chromosome 15 open reading frame 23,1.46,3.42,,
1437254_at,CEP76,centrosomal protein 76kDa,1.33,3.42,,
1425076_at,DNAJC18,"DnaJ (Hsp40) homolog, subfamily C, member 18",1.24,3.41,,
1435302_at,TAF4B,"TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa",1.12,3.41,,
1417019_a_at,CDC6,cell division cycle 6 homolog (S. cerevisiae),1.18,3.41,,
1429658_a_at,SMC2*,structural maintenance of chromosomes 2,1.44,3.41,,
1439040_at,CENPE*,"centromere protein E, 312kDa",1.22,3.41,,
1457415_a_at,4930513N10RIK,RIKEN cDNA 4930513N10 gene,1.35,3.41,,
1417511_at,LYAR,Ly1 antibody reactive homolog (mouse),1.38,3.41,,
1416873_a_at,CDK2,cyclin-dependent kinase 2,1.16,3.40,,
1417748_x_at,FOXM1*,forkhead box M1,1.35,3.40,,
1424495_a_at,CKLF*,chemokine-like factor,1.43,3.40,,
1423847_at,NCAPD2,"non-SMC condensin I complex, subunit D2",1.42,3.40,,
1458803_at,SLFN13*,schlafen family member 13,1.40,3.40,,
1453138_at,RPUSD2,RNA pseudouridylate synthase domain containing 2,1.10,3.40,,
1458951_at,VRK1*,vaccinia related kinase 1,1.30,3.39,,
1418780_at,CYP39A1,"cytochrome P450, family 39, subfamily A, polypeptide 1",1.18,3.39,,
1455730_at,DLGAP5*,"discs, large (Drosophila) homolog-associated protein 5",1.40,3.38,,
1423092_at,INCENP,inner centromere protein antigens 135/155kDa,1.33,3.38,,
1448627_s_at,PBK,PDZ binding kinase,1.21,3.38,,
1441890_x_at,TMEFF1*,transmembrane protein with EGF-like and two follistatin-like domains 1,1.11,3.38,,
1416309_at,NUSAP1,nucleolar and spindle associated protein 1,1.15,3.38,,
1437580_s_at,NEK2*,NIMA (never in mitosis gene a)-related kinase 2,1.25,3.38,,
1430423_s_at,C3ORF26*,chromosome 3 open reading frame 26,1.37,3.37,,
1425006_a_at,VRK1*,vaccinia related kinase 1,1.34,3.37,,
1425271_at,PSMC3IP*,PSMC3 interacting protein,1.39,3.37,,
1449098_a_at,POLI,polymerase (DNA directed) iota,1.48,3.37,,
1439205_at,NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",1.34,3.36,,
1417822_at,D17H6S56E-5,"DNA segment, Chr 17, human D6S56E 5",1.28,3.36,,
1438774_s_at,PGM2L1*,phosphoglucomutase 2-like 1,1.40,3.35,,
1451246_s_at,AURKB*,aurora kinase B,1.31,3.35,,
1456121_at,CEP97,centrosomal protein 97kDa,-1.19,3.35,,
1435938_at,CKAP2L,cytoskeleton associated protein 2-like,1.33,3.34,,
1437780_at,FANCB*,"Fanconi anemia, complementation group B",1.26,3.34,,
1422946_a_at,DNMT1,DNA (cytosine-5-)-methyltransferase 1,1.21,3.33,,
1422513_at,CCNF,cyclin F,1.28,3.31,,
1424630_a_at,BRCA1*,"breast cancer 1, early onset",1.44,3.31,,
1422814_at,ASPM,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",1.35,3.31,,
1425815_a_at,HMMR*,hyaluronan-mediated motility receptor (RHAMM),1.28,3.31,,
1450780_s_at,HMGA2,high mobility group AT-hook 2,1.39,3.31,,
1417139_at,DSN1,"DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)",1.22,3.30,,
1445298_at,NA,NA,1.39,3.30,,
1416802_a_at,CDCA5*,cell division cycle associated 5,1.27,3.30,,
1456478_at,PGM2L1*,phosphoglucomutase 2-like 1,1.47,3.30,,
1428967_at,IGF1R,insulin-like growth factor 1 receptor,1.25,3.29,,
1433623_at,ZNF367,zinc finger protein 367,-1.01,3.29,,
1429174_at,WDR34,WD repeat domain 34,1.48,3.28,,
1417585_at,NUP210,nucleoporin 210kDa,1.30,3.27,,
1428291_at,EXOSC8,exosome component 8,1.34,3.27,,
1436654_at,GEN1,"Gen homolog 1, endonuclease (Drosophila)",1.09,3.27,,
1416641_at,LIG1,"ligase I, DNA, ATP-dependent",1.21,3.27,,
1428105_at,TPX2*,"TPX2, microtubule-associated, homolog (Xenopus laevis)",1.34,3.27,,
1450157_a_at,HMMR*,hyaluronan-mediated motility receptor (RHAMM),1.41,3.27,,
1416258_at,TK1,"thymidine kinase 1, soluble",1.14,3.26,,
1426580_at,PLK4*,polo-like kinase 4 (Drosophila),1.29,3.26,,
1455124_at,TRIM68,tripartite motif-containing 68,1.27,3.26,,
1455488_at,HAUS6*,"HAUS augmin-like complex, subunit 6",1.29,3.25,,
1432013_a_at,FAM54A,"family with sequence similarity 54, member A",1.21,3.25,,
1456096_at,C8ORF79,chromosome 8 open reading frame 79,1.36,3.25,,
1450506_a_at,AEN,apoptosis enhancing nuclease,1.41,3.24,,
1435608_at,ZNRF3,zinc and ring finger 3,1.20,3.24,,
1442058_s_at,PSMC3IP*,PSMC3 interacting protein,1.45,3.24,,
1435654_at,CCDC14,coiled-coil domain containing 14,1.36,3.24,,
1452210_at,DNA2*,DNA replication helicase 2 homolog (yeast),1.02,3.24,,
1432361_a_at,CENPP,centromere protein P,1.31,3.24,,
1436125_at,C21ORF91,chromosome 21 open reading frame 91,-1.01,3.24,,
1438811_at,DLGAP5*,"discs, large (Drosophila) homolog-associated protein 5",1.42,3.23,,
1428838_a_at,DCK,deoxycytidine kinase,1.07,3.23,,
1418326_at,SLC7A5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",1.36,3.23,,
1451103_at,HAUS4,"HAUS augmin-like complex, subunit 4",1.38,3.22,,
1452098_at,CHTF18,"CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)",1.22,3.22,,
1420824_at,SEMA4D,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D",1.22,3.22,,
1452841_at,PGM2L1*,phosphoglucomutase 2-like 1,1.33,3.22,,
1453175_at,ZBTB25,zinc finger and BTB domain containing 25,1.30,3.21,,
1415810_at,UHRF1*,ubiquitin-like with PHD and ring finger domains 1,1.02,3.21,,
1434576_at,TSGA14*,"testis specific, 14",1.35,3.21,,
1427153_at,BCKDHB,"branched chain keto acid dehydrogenase E1, beta polypeptide",1.43,3.21,,
1416214_at,MCM4,minichromosome maintenance complex component 4,1.05,3.21,,
1451128_s_at,KIF22,kinesin family member 22,1.45,3.20,,
1420032_at,CHEK1*,CHK1 checkpoint homolog (S. pombe),1.25,3.20,,
1429227_x_at,NAP1L1*,nucleosome assembly protein 1-like 1,1.32,3.20,,
1415878_at,RRM1 (includes EG:6240),ribonucleotide reductase M1,1.26,3.20,,
1451273_x_at,FTSJD1,FtsJ methyltransferase domain containing 1,1.10,3.19,,
1418919_at,SGOL1,shugoshin-like 1 (S. pombe),1.27,3.19,,
1417675_a_at,MDN1 (includes EG:23195),"MDN1, midasin homolog (yeast)",1.21,3.19,,
1421731_a_at,FEN1,flap structure-specific endonuclease 1,1.20,3.19,,
1448226_at,RRM2*,ribonucleotide reductase M2,-1.11,3.19,,
1436242_a_at,CKLF*,chemokine-like factor,1.35,3.19,,
1417299_at,NEK2*,NIMA (never in mitosis gene a)-related kinase 2,1.40,3.19,,
